age,sex,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,Male,1.039,1.052,1.059,1.067,1.075,1.084,1.093,1.103,1.114,1.126,1.137,1.149,1.161,1.171,1.18,1.192,1.21,1.225,1.244,1.267,1.286,1.303,1.316,1.326,1.332,1.336,1.326,1.323,1.314,1.302,1.288,1.271,1.247,1.309,1.193,1.157,1.118,1.079,1.047,1.048,1.049,1.066,1.105,1.152,1.194,1.165,1.206,1.259,1.321,1.4,1.461,1.505,1.517,1.531,1.54,1.527,1.486,1.433,1.382,1.295,1.182,1.093,1.017,0.959,0.907,0.86,0.822,0.787,0.758,0.726,0.697,0.672,0.646,0.618
1,Male,0.274,0.29,0.291,0.29,0.289,0.288,0.288,0.287,0.286,0.286,0.285,0.285,0.283,0.282,0.281,0.279,0.278,0.278,0.273,0.272,0.272,0.27,0.267,0.263,0.257,0.252,0.242,0.237,0.23,0.222,0.215,0.207,0.198,0.235,0.18,0.168,0.163,0.154,0.146,0.141,0.14,0.142,0.149,0.158,0.17,0.18,0.19,0.193,0.202,0.218,0.234,0.245,0.245,0.244,0.241,0.237,0.229,0.217,0.2,0.182,0.161,0.141,0.126,0.115,0.108,0.101,0.098,0.093,0.089,0.086,0.082,0.079,0.073,0.073
2,Male,0.148,0.156,0.165,0.167,0.166,0.166,0.165,0.165,0.164,0.164,0.164,0.164,0.163,0.163,0.162,0.161,0.16,0.159,0.155,0.153,0.152,0.151,0.149,0.147,0.144,0.142,0.136,0.134,0.13,0.126,0.123,0.119,0.114,0.128,0.105,0.098,0.096,0.094,0.09,0.087,0.087,0.089,0.094,0.1,0.109,0.118,0.13,0.133,0.133,0.141,0.152,0.161,0.164,0.165,0.161,0.157,0.152,0.146,0.134,0.122,0.11,0.097,0.086,0.079,0.073,0.068,0.066,0.062,0.059,0.056,0.054,0.052,0.048,0.047
3,Male,0.093,0.094,0.099,0.105,0.106,0.106,0.106,0.105,0.105,0.105,0.105,0.105,0.104,0.104,0.103,0.103,0.103,0.102,0.1,0.097,0.096,0.095,0.094,0.093,0.091,0.09,0.087,0.085,0.083,0.081,0.079,0.077,0.074,0.083,0.069,0.064,0.063,0.062,0.061,0.06,0.059,0.06,0.064,0.068,0.074,0.081,0.09,0.095,0.096,0.096,0.101,0.108,0.11,0.112,0.11,0.105,0.1,0.097,0.09,0.082,0.074,0.066,0.059,0.054,0.05,0.047,0.045,0.043,0.041,0.039,0.037,0.036,0.033,0.033
4,Male,0.059,0.06,0.061,0.064,0.068,0.069,0.069,0.069,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.067,0.067,0.067,0.066,0.064,0.063,0.062,0.061,0.06,0.059,0.059,0.057,0.056,0.054,0.053,0.052,0.051,0.05,0.057,0.047,0.044,0.043,0.042,0.042,0.042,0.042,0.043,0.045,0.048,0.053,0.057,0.065,0.069,0.073,0.073,0.073,0.077,0.078,0.079,0.08,0.077,0.072,0.068,0.064,0.059,0.053,0.048,0.043,0.039,0.037,0.034,0.033,0.031,0.03,0.028,0.027,0.026,0.024,0.024
5,Male,0.041,0.042,0.043,0.043,0.046,0.049,0.049,0.049,0.049,0.049,0.049,0.048,0.048,0.048,0.048,0.048,0.048,0.047,0.047,0.046,0.045,0.044,0.043,0.043,0.042,0.042,0.04,0.04,0.039,0.038,0.038,0.037,0.036,0.042,0.035,0.032,0.031,0.031,0.031,0.031,0.032,0.032,0.034,0.036,0.039,0.042,0.048,0.051,0.054,0.056,0.056,0.056,0.056,0.057,0.057,0.056,0.053,0.049,0.045,0.042,0.038,0.034,0.031,0.029,0.027,0.025,0.024,0.023,0.022,0.021,0.02,0.02,0.018,0.018
6,Male,0.031,0.032,0.033,0.033,0.034,0.036,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.037,0.037,0.037,0.037,0.036,0.036,0.035,0.034,0.033,0.033,0.032,0.031,0.031,0.03,0.03,0.029,0.029,0.028,0.034,0.028,0.026,0.025,0.025,0.025,0.025,0.026,0.027,0.028,0.03,0.032,0.035,0.04,0.043,0.046,0.048,0.05,0.05,0.048,0.048,0.048,0.047,0.046,0.043,0.039,0.035,0.032,0.029,0.027,0.025,0.023,0.022,0.021,0.02,0.019,0.018,0.017,0.017,0.016,0.016
7,Male,0.024,0.025,0.025,0.026,0.027,0.027,0.028,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.029,0.029,0.029,0.028,0.028,0.027,0.026,0.026,0.025,0.025,0.024,0.024,0.024,0.023,0.023,0.028,0.023,0.021,0.021,0.021,0.021,0.021,0.022,0.023,0.025,0.026,0.028,0.031,0.035,0.037,0.04,0.042,0.044,0.046,0.044,0.043,0.042,0.042,0.04,0.039,0.035,0.032,0.029,0.026,0.024,0.022,0.021,0.02,0.019,0.018,0.017,0.016,0.016,0.015,0.014,0.014
8,Male,0.02,0.02,0.021,0.021,0.022,0.022,0.022,0.024,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.024,0.024,0.024,0.024,0.023,0.023,0.022,0.021,0.021,0.02,0.02,0.02,0.02,0.019,0.019,0.023,0.019,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.021,0.023,0.025,0.027,0.03,0.033,0.035,0.037,0.039,0.041,0.041,0.04,0.038,0.037,0.036,0.034,0.032,0.029,0.026,0.023,0.021,0.02,0.019,0.018,0.017,0.016,0.015,0.015,0.014,0.014,0.013,0.013
9,Male,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.019,0.021,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.021,0.021,0.021,0.021,0.021,0.02,0.02,0.019,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.02,0.017,0.016,0.016,0.015,0.016,0.016,0.016,0.017,0.019,0.02,0.022,0.024,0.027,0.029,0.032,0.034,0.036,0.037,0.037,0.037,0.036,0.034,0.032,0.031,0.029,0.027,0.024,0.021,0.019,0.018,0.017,0.016,0.016,0.015,0.014,0.013,0.013,0.013,0.012,0.012
10,Male,0.015,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.017,0.018,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.018,0.017,0.017,0.016,0.015,0.015,0.015,0.015,0.015,0.015,0.018,0.015,0.014,0.014,0.014,0.014,0.014,0.015,0.016,0.017,0.019,0.021,0.023,0.026,0.028,0.03,0.032,0.034,0.036,0.036,0.036,0.035,0.034,0.032,0.03,0.028,0.026,0.024,0.021,0.019,0.018,0.017,0.016,0.015,0.014,0.014,0.013,0.013,0.012,0.012,0.011
11,Male,0.014,0.014,0.014,0.014,0.014,0.015,0.015,0.015,0.016,0.016,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.015,0.015,0.014,0.014,0.014,0.014,0.014,0.013,0.016,0.014,0.013,0.013,0.013,0.013,0.014,0.014,0.015,0.016,0.018,0.02,0.023,0.026,0.028,0.03,0.032,0.033,0.036,0.036,0.037,0.036,0.035,0.033,0.031,0.029,0.026,0.024,0.022,0.02,0.018,0.017,0.016,0.016,0.015,0.014,0.014,0.013,0.012,0.012,0.011
12,Male,0.013,0.013,0.013,0.013,0.014,0.014,0.014,0.014,0.015,0.015,0.015,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.014,0.014,0.013,0.013,0.013,0.013,0.013,0.015,0.013,0.012,0.013,0.013,0.013,0.013,0.014,0.015,0.016,0.018,0.02,0.022,0.026,0.028,0.031,0.032,0.034,0.036,0.037,0.038,0.038,0.036,0.035,0.033,0.03,0.027,0.025,0.023,0.022,0.02,0.018,0.017,0.016,0.015,0.015,0.014,0.014,0.013,0.012,0.012
13,Male,0.013,0.013,0.013,0.013,0.013,0.013,0.014,0.014,0.014,0.015,0.015,0.015,0.016,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.014,0.014,0.014,0.013,0.013,0.013,0.013,0.013,0.015,0.013,0.012,0.013,0.013,0.013,0.014,0.014,0.015,0.017,0.018,0.02,0.022,0.026,0.029,0.032,0.034,0.035,0.037,0.038,0.039,0.04,0.039,0.037,0.035,0.032,0.029,0.027,0.024,0.023,0.022,0.02,0.018,0.017,0.017,0.016,0.015,0.015,0.014,0.013,0.013
14,Male,0.013,0.013,0.013,0.013,0.013,0.013,0.014,0.014,0.014,0.014,0.015,0.015,0.015,0.016,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.015,0.015,0.015,0.014,0.014,0.014,0.014,0.013,0.013,0.013,0.013,0.015,0.013,0.013,0.013,0.013,0.014,0.014,0.015,0.016,0.018,0.02,0.022,0.024,0.028,0.031,0.035,0.037,0.039,0.041,0.041,0.042,0.043,0.043,0.041,0.039,0.036,0.033,0.03,0.027,0.025,0.024,0.023,0.021,0.02,0.019,0.018,0.017,0.017,0.016,0.015,0.014
15,Male,0.013,0.013,0.013,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.015,0.015,0.016,0.016,0.017,0.018,0.018,0.018,0.017,0.017,0.016,0.016,0.015,0.015,0.015,0.015,0.014,0.014,0.014,0.014,0.014,0.014,0.013,0.015,0.014,0.014,0.014,0.014,0.015,0.016,0.017,0.018,0.02,0.022,0.024,0.026,0.03,0.034,0.037,0.041,0.044,0.046,0.047,0.047,0.048,0.048,0.047,0.045,0.042,0.039,0.035,0.032,0.03,0.028,0.027,0.026,0.024,0.022,0.021,0.02,0.02,0.019,0.018,0.017
16,Male,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.015,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.018,0.018,0.018,0.018,0.017,0.017,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.014,0.016,0.015,0.014,0.015,0.016,0.016,0.017,0.018,0.02,0.022,0.024,0.026,0.029,0.033,0.037,0.041,0.044,0.048,0.051,0.052,0.052,0.052,0.052,0.052,0.051,0.048,0.044,0.04,0.037,0.034,0.032,0.03,0.029,0.028,0.026,0.025,0.023,0.023,0.022,0.021,0.02
17,Male,0.014,0.014,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.018,0.019,0.019,0.019,0.018,0.018,0.017,0.017,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.016,0.015,0.016,0.015,0.015,0.016,0.017,0.018,0.019,0.02,0.022,0.025,0.027,0.03,0.032,0.036,0.041,0.045,0.049,0.053,0.058,0.06,0.061,0.061,0.06,0.059,0.058,0.056,0.052,0.048,0.045,0.041,0.038,0.036,0.034,0.033,0.032,0.03,0.028,0.027,0.026,0.025,0.024
18,Male,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.018,0.018,0.018,0.019,0.02,0.02,0.019,0.019,0.018,0.018,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.018,0.016,0.016,0.017,0.018,0.019,0.021,0.022,0.024,0.027,0.03,0.033,0.035,0.04,0.045,0.05,0.054,0.058,0.063,0.068,0.069,0.069,0.068,0.066,0.065,0.064,0.061,0.056,0.052,0.048,0.045,0.042,0.039,0.037,0.037,0.036,0.033,0.031,0.03,0.029,0.027
19,Male,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.02,0.021,0.021,0.02,0.019,0.019,0.018,0.018,0.017,0.017,0.017,0.016,0.017,0.017,0.017,0.018,0.017,0.017,0.018,0.019,0.02,0.022,0.024,0.026,0.029,0.032,0.035,0.037,0.042,0.047,0.053,0.058,0.063,0.068,0.072,0.075,0.076,0.075,0.072,0.069,0.068,0.066,0.062,0.058,0.053,0.05,0.046,0.043,0.041,0.039,0.039,0.038,0.036,0.033,0.031,0.03
20,Male,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.021,0.022,0.021,0.02,0.02,0.019,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.019,0.018,0.017,0.018,0.019,0.02,0.022,0.025,0.027,0.03,0.034,0.037,0.038,0.044,0.05,0.056,0.062,0.067,0.073,0.079,0.082,0.084,0.083,0.08,0.076,0.073,0.071,0.068,0.065,0.06,0.055,0.051,0.048,0.045,0.042,0.041,0.04,0.04,0.037,0.034,0.032
21,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.021,0.02,0.021,0.022,0.021,0.021,0.02,0.019,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.019,0.02,0.023,0.025,0.028,0.032,0.035,0.039,0.04,0.046,0.052,0.059,0.065,0.071,0.078,0.085,0.088,0.091,0.091,0.088,0.084,0.08,0.076,0.073,0.071,0.067,0.061,0.056,0.053,0.05,0.047,0.044,0.042,0.042,0.041,0.038,0.034
22,Male,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.021,0.02,0.021,0.022,0.021,0.02,0.02,0.019,0.018,0.017,0.017,0.017,0.017,0.017,0.018,0.017,0.017,0.018,0.019,0.02,0.023,0.025,0.029,0.033,0.037,0.041,0.041,0.047,0.054,0.061,0.068,0.075,0.083,0.09,0.095,0.098,0.098,0.097,0.092,0.087,0.083,0.079,0.077,0.073,0.068,0.063,0.057,0.054,0.051,0.048,0.045,0.044,0.043,0.041,0.037
23,Male,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.021,0.02,0.019,0.018,0.017,0.017,0.017,0.017,0.017,0.018,0.017,0.017,0.018,0.019,0.02,0.023,0.025,0.029,0.033,0.038,0.042,0.042,0.049,0.056,0.063,0.07,0.078,0.086,0.095,0.1,0.104,0.105,0.103,0.1,0.095,0.09,0.085,0.082,0.078,0.074,0.069,0.063,0.058,0.054,0.052,0.048,0.045,0.045,0.042,0.04
24,Male,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.021,0.02,0.019,0.018,0.017,0.017,0.016,0.016,0.016,0.017,0.016,0.016,0.017,0.018,0.02,0.022,0.025,0.028,0.033,0.038,0.043,0.043,0.05,0.057,0.064,0.072,0.08,0.089,0.099,0.105,0.11,0.111,0.11,0.106,0.101,0.097,0.092,0.089,0.083,0.079,0.074,0.068,0.063,0.057,0.055,0.051,0.046,0.048,0.042,0.041
25,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.019,0.018,0.017,0.017,0.016,0.016,0.016,0.017,0.016,0.016,0.016,0.018,0.019,0.022,0.025,0.028,0.033,0.038,0.043,0.044,0.051,0.059,0.066,0.074,0.082,0.092,0.104,0.11,0.116,0.118,0.117,0.113,0.108,0.104,0.099,0.097,0.091,0.084,0.079,0.074,0.068,0.062,0.058,0.054,0.047,0.054,0.044,0.041
26,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.018,0.019,0.019,0.018,0.018,0.017,0.016,0.016,0.016,0.016,0.015,0.015,0.016,0.017,0.019,0.022,0.025,0.028,0.033,0.038,0.043,0.044,0.052,0.06,0.068,0.075,0.084,0.094,0.106,0.113,0.12,0.122,0.122,0.118,0.113,0.109,0.105,0.103,0.097,0.091,0.083,0.078,0.073,0.066,0.061,0.056,0.047,0.058,0.046,0.042
27,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.017,0.018,0.021,0.024,0.028,0.033,0.038,0.044,0.045,0.052,0.061,0.07,0.078,0.086,0.096,0.109,0.117,0.124,0.128,0.128,0.125,0.119,0.115,0.111,0.11,0.104,0.098,0.091,0.082,0.077,0.071,0.066,0.059,0.049,0.062,0.048,0.044
28,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.017,0.018,0.018,0.017,0.017,0.016,0.016,0.016,0.015,0.015,0.015,0.016,0.018,0.021,0.024,0.028,0.033,0.039,0.044,0.045,0.052,0.062,0.071,0.08,0.088,0.098,0.111,0.119,0.127,0.131,0.133,0.13,0.124,0.12,0.116,0.115,0.109,0.103,0.096,0.088,0.081,0.074,0.07,0.063,0.052,0.065,0.05,0.045
29,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.017,0.015,0.015,0.015,0.016,0.017,0.02,0.024,0.028,0.033,0.039,0.045,0.045,0.053,0.062,0.072,0.081,0.09,0.1,0.113,0.121,0.129,0.134,0.136,0.134,0.127,0.124,0.119,0.12,0.114,0.108,0.101,0.093,0.087,0.077,0.073,0.067,0.056,0.069,0.051,0.047
30,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.017,0.018,0.017,0.017,0.017,0.016,0.015,0.016,0.016,0.018,0.02,0.023,0.028,0.033,0.039,0.046,0.046,0.054,0.063,0.073,0.084,0.093,0.104,0.117,0.125,0.133,0.137,0.139,0.138,0.132,0.128,0.124,0.125,0.12,0.114,0.106,0.098,0.092,0.084,0.076,0.07,0.06,0.074,0.054,0.048
31,Male,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.017,0.018,0.017,0.018,0.016,0.016,0.016,0.016,0.017,0.02,0.023,0.027,0.033,0.039,0.045,0.047,0.054,0.063,0.073,0.084,0.095,0.106,0.12,0.126,0.133,0.137,0.14,0.139,0.133,0.13,0.126,0.128,0.122,0.117,0.109,0.101,0.095,0.087,0.081,0.072,0.062,0.078,0.056,0.05
32,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.017,0.018,0.019,0.017,0.017,0.016,0.017,0.018,0.021,0.023,0.027,0.033,0.039,0.045,0.047,0.055,0.064,0.075,0.085,0.096,0.109,0.124,0.13,0.136,0.139,0.141,0.14,0.135,0.132,0.128,0.131,0.126,0.119,0.113,0.105,0.099,0.09,0.085,0.077,0.064,0.082,0.059,0.053
33,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.02,0.018,0.017,0.017,0.018,0.019,0.021,0.024,0.028,0.033,0.039,0.045,0.047,0.055,0.065,0.076,0.086,0.096,0.111,0.128,0.135,0.141,0.142,0.143,0.141,0.136,0.133,0.131,0.133,0.129,0.123,0.115,0.108,0.102,0.093,0.087,0.08,0.069,0.086,0.061,0.055
34,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.017,0.017,0.017,0.017,0.019,0.019,0.018,0.018,0.018,0.019,0.022,0.024,0.028,0.033,0.039,0.045,0.047,0.055,0.066,0.078,0.088,0.098,0.112,0.13,0.141,0.147,0.148,0.146,0.143,0.137,0.135,0.132,0.136,0.13,0.126,0.119,0.11,0.106,0.097,0.091,0.083,0.073,0.093,0.063,0.057
35,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.019,0.018,0.019,0.019,0.019,0.02,0.023,0.025,0.029,0.034,0.04,0.046,0.047,0.055,0.066,0.079,0.089,0.099,0.112,0.131,0.143,0.153,0.155,0.152,0.146,0.138,0.135,0.133,0.137,0.133,0.127,0.121,0.114,0.108,0.101,0.094,0.086,0.077,0.098,0.067,0.059
36,Male,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.016,0.017,0.017,0.017,0.018,0.019,0.018,0.019,0.02,0.02,0.021,0.024,0.026,0.03,0.035,0.04,0.046,0.047,0.055,0.065,0.078,0.089,0.1,0.113,0.13,0.142,0.154,0.159,0.158,0.15,0.138,0.134,0.132,0.136,0.132,0.128,0.12,0.114,0.11,0.1,0.096,0.088,0.079,0.102,0.07,0.063
37,Male,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.016,0.016,0.017,0.017,0.017,0.018,0.019,0.018,0.018,0.019,0.021,0.023,0.025,0.028,0.031,0.036,0.041,0.047,0.048,0.055,0.065,0.078,0.089,0.1,0.113,0.13,0.141,0.153,0.161,0.164,0.157,0.142,0.135,0.131,0.136,0.132,0.128,0.121,0.113,0.11,0.103,0.096,0.09,0.082,0.106,0.071,0.065
38,Male,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.02,0.019,0.019,0.019,0.021,0.024,0.026,0.029,0.033,0.037,0.042,0.048,0.049,0.056,0.065,0.077,0.088,0.098,0.112,0.129,0.138,0.149,0.157,0.164,0.161,0.147,0.136,0.129,0.132,0.129,0.125,0.119,0.113,0.107,0.102,0.097,0.089,0.085,0.109,0.073,0.066
