age,sex,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
79,Male,0.008,0.008,0.009,0.009,0.01,0.01,0.011,0.011,0.012,0.013,0.013,0.014,0.015,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.021,0.021,0.021,0.022,0.022,0.023,0.025,0.025,0.026,0.026,0.027,0.028,0.028,0.029,0.029,0.029,0.029,0.029,0.029,0.03,0.03,0.029,0.029,0.029,0.028,0.028,0.028,0.029,0.029,0.029,0.029,0.028,0.028,0.028,0.029,0.03,0.032,0.033,0.035,0.037,0.039,0.042,0.044,0.051,0.054,0.042,0.043
80,Male,0.007,0.008,0.008,0.008,0.009,0.009,0.01,0.01,0.011,0.011,0.012,0.012,0.013,0.014,0.014,0.014,0.015,0.015,0.015,0.016,0.016,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.02,0.02,0.02,0.021,0.021,0.023,0.023,0.024,0.025,0.025,0.026,0.027,0.027,0.027,0.027,0.027,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.026,0.027,0.028,0.029,0.03,0.032,0.033,0.035,0.038,0.04,0.048,0.053,0.042,0.041
81,Male,0.006,0.006,0.007,0.007,0.007,0.008,0.008,0.008,0.009,0.009,0.01,0.011,0.011,0.012,0.012,0.013,0.013,0.013,0.014,0.014,0.014,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.02,0.021,0.021,0.022,0.023,0.024,0.024,0.025,0.025,0.026,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.026,0.026,0.026,0.025,0.025,0.026,0.026,0.026,0.026,0.026,0.026,0.025,0.026,0.027,0.028,0.029,0.031,0.032,0.034,0.037,0.043,0.05,0.042,0.041
82,Male,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.008,0.008,0.009,0.009,0.01,0.01,0.011,0.011,0.012,0.012,0.012,0.012,0.013,0.013,0.014,0.014,0.014,0.015,0.015,0.016,0.016,0.017,0.017,0.017,0.018,0.019,0.019,0.019,0.02,0.021,0.022,0.023,0.023,0.024,0.024,0.024,0.025,0.025,0.025,0.025,0.025,0.026,0.026,0.026,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.026,0.027,0.029,0.03,0.032,0.034,0.039,0.046,0.04,0.041
83,Male,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.008,0.008,0.009,0.009,0.01,0.01,0.01,0.011,0.011,0.011,0.012,0.012,0.012,0.013,0.013,0.013,0.014,0.014,0.015,0.015,0.016,0.016,0.017,0.017,0.017,0.018,0.019,0.019,0.02,0.021,0.021,0.022,0.022,0.023,0.023,0.023,0.023,0.024,0.024,0.024,0.024,0.024,0.024,0.023,0.023,0.023,0.023,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.025,0.026,0.028,0.029,0.03,0.035,0.041,0.036,0.038
84,Male,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.007,0.008,0.008,0.009,0.009,0.009,0.01,0.01,0.01,0.011,0.011,0.011,0.012,0.012,0.012,0.013,0.013,0.014,0.014,0.015,0.015,0.015,0.016,0.016,0.017,0.018,0.018,0.019,0.02,0.02,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.023,0.023,0.022,0.022,0.023,0.024,0.025,0.026,0.027,0.033,0.037,0.032,0.034
85,Male,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.01,0.01,0.011,0.011,0.011,0.012,0.012,0.013,0.013,0.013,0.013,0.014,0.014,0.015,0.016,0.016,0.017,0.018,0.018,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.023,0.024,0.03,0.033,0.027,0.03
86,Male,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.01,0.01,0.011,0.011,0.011,0.011,0.012,0.012,0.013,0.013,0.014,0.015,0.015,0.016,0.016,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.021,0.027,0.029,0.024,0.026
87,Male,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.01,0.01,0.011,0.011,0.012,0.012,0.013,0.013,0.014,0.014,0.014,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.024,0.025,0.02,0.021
88,Male,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.01,0.01,0.011,0.011,0.012,0.012,0.012,0.013,0.013,0.013,0.013,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.02,0.021,0.017,0.018
89,Male,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.008,0.008,0.009,0.009,0.009,0.01,0.01,0.01,0.011,0.011,0.011,0.011,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.013,0.013,0.013,0.013,0.013,0.013,0.017,0.017,0.014,0.015
90,Male,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.007,0.007,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.011,0.011,0.011,0.011,0.014,0.014,0.011,0.012
91,Male,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.01,0.012,0.012,0.009,0.009
92,Male,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.01,0.01,0.007,0.007
93,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.008,0.008,0.005,0.006
94,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.004,0.004
95,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.005,0.004,0.003,0.003
96,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.002
97,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002
98,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001
99,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
100,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001
0,Female,0.897,0.909,0.914,0.919,0.925,0.932,0.939,0.946,0.954,0.963,0.971,0.98,0.988,0.995,1.001,1.009,1.022,1.032,1.046,1.062,1.076,1.087,1.094,1.098,1.1,1.098,1.105,1.098,1.087,1.072,1.056,1.039,1.015,1.077,0.965,0.933,0.899,0.865,0.838,0.837,0.837,0.85,0.882,0.922,0.958,0.94,0.979,1.028,1.087,1.157,1.213,1.256,1.271,1.283,1.289,1.276,1.239,1.19,1.143,1.066,0.968,0.89,0.825,0.777,0.735,0.695,0.663,0.634,0.61,0.584,0.561,0.54,0.519,0.497
1,Female,0.266,0.277,0.279,0.277,0.276,0.274,0.273,0.272,0.271,0.27,0.269,0.267,0.266,0.264,0.262,0.259,0.257,0.256,0.251,0.25,0.248,0.246,0.243,0.238,0.232,0.226,0.223,0.217,0.209,0.201,0.194,0.186,0.177,0.216,0.162,0.151,0.145,0.137,0.13,0.127,0.126,0.128,0.135,0.143,0.155,0.166,0.177,0.183,0.195,0.211,0.227,0.243,0.246,0.245,0.244,0.239,0.229,0.215,0.2,0.18,0.159,0.14,0.124,0.112,0.108,0.101,0.095,0.092,0.09,0.088,0.085,0.084,0.08,0.077
2,Female,0.148,0.153,0.16,0.161,0.16,0.159,0.158,0.158,0.157,0.156,0.156,0.155,0.154,0.153,0.152,0.15,0.148,0.147,0.143,0.141,0.139,0.138,0.136,0.134,0.131,0.127,0.126,0.123,0.119,0.115,0.111,0.107,0.102,0.118,0.094,0.087,0.085,0.081,0.078,0.076,0.075,0.077,0.082,0.086,0.095,0.103,0.115,0.118,0.121,0.129,0.139,0.149,0.152,0.152,0.151,0.146,0.139,0.132,0.122,0.109,0.098,0.087,0.077,0.068,0.065,0.062,0.059,0.056,0.055,0.053,0.052,0.051,0.049,0.047
3,Female,0.094,0.095,0.098,0.102,0.103,0.102,0.101,0.101,0.101,0.1,0.1,0.099,0.099,0.098,0.097,0.096,0.096,0.094,0.092,0.09,0.088,0.087,0.086,0.085,0.083,0.081,0.08,0.078,0.076,0.074,0.072,0.069,0.066,0.076,0.062,0.057,0.055,0.054,0.053,0.051,0.051,0.051,0.054,0.057,0.062,0.068,0.077,0.081,0.084,0.085,0.09,0.097,0.097,0.099,0.098,0.094,0.089,0.084,0.078,0.071,0.064,0.057,0.051,0.045,0.043,0.041,0.039,0.038,0.037,0.035,0.035,0.034,0.033,0.032
4,Female,0.059,0.06,0.061,0.063,0.066,0.066,0.066,0.066,0.065,0.065,0.065,0.065,0.064,0.064,0.063,0.063,0.062,0.062,0.061,0.059,0.058,0.057,0.056,0.055,0.054,0.053,0.053,0.051,0.05,0.049,0.048,0.047,0.045,0.053,0.042,0.039,0.038,0.037,0.037,0.037,0.036,0.036,0.038,0.04,0.043,0.047,0.053,0.056,0.06,0.061,0.062,0.066,0.066,0.067,0.066,0.065,0.061,0.057,0.052,0.049,0.044,0.039,0.036,0.032,0.03,0.029,0.027,0.027,0.026,0.025,0.025,0.025,0.024,0.023
5,Female,0.041,0.042,0.043,0.043,0.044,0.046,0.046,0.047,0.046,0.046,0.046,0.046,0.045,0.045,0.045,0.045,0.044,0.044,0.043,0.043,0.042,0.04,0.04,0.039,0.038,0.038,0.037,0.037,0.036,0.035,0.034,0.034,0.032,0.039,0.031,0.029,0.028,0.027,0.027,0.027,0.027,0.027,0.029,0.03,0.032,0.035,0.039,0.041,0.045,0.047,0.048,0.049,0.048,0.049,0.048,0.048,0.045,0.042,0.037,0.036,0.032,0.028,0.027,0.025,0.023,0.021,0.02,0.02,0.02,0.019,0.019,0.018,0.018,0.018
6,Female,0.031,0.032,0.032,0.033,0.033,0.034,0.036,0.036,0.036,0.036,0.036,0.036,0.035,0.035,0.035,0.035,0.035,0.034,0.034,0.033,0.033,0.032,0.031,0.03,0.03,0.029,0.029,0.028,0.028,0.027,0.026,0.026,0.025,0.03,0.025,0.023,0.022,0.022,0.021,0.021,0.022,0.022,0.024,0.024,0.026,0.028,0.033,0.034,0.037,0.04,0.041,0.042,0.04,0.041,0.04,0.04,0.039,0.036,0.031,0.03,0.027,0.024,0.023,0.021,0.02,0.018,0.017,0.017,0.016,0.016,0.016,0.015,0.015,0.014
7,Female,0.024,0.025,0.025,0.026,0.026,0.026,0.027,0.029,0.029,0.029,0.029,0.029,0.028,0.028,0.028,0.028,0.028,0.027,0.027,0.027,0.026,0.026,0.025,0.024,0.024,0.023,0.023,0.023,0.022,0.022,0.021,0.021,0.02,0.025,0.02,0.019,0.018,0.018,0.018,0.018,0.018,0.019,0.02,0.021,0.023,0.025,0.028,0.03,0.032,0.035,0.037,0.039,0.037,0.037,0.036,0.036,0.035,0.033,0.029,0.027,0.024,0.021,0.02,0.019,0.018,0.017,0.016,0.015,0.014,0.014,0.014,0.014,0.013,0.013
8,Female,0.02,0.02,0.021,0.021,0.021,0.022,0.022,0.023,0.024,0.024,0.024,0.024,0.024,0.024,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.021,0.021,0.02,0.019,0.019,0.019,0.018,0.018,0.018,0.017,0.017,0.021,0.017,0.016,0.015,0.015,0.015,0.015,0.015,0.016,0.018,0.019,0.02,0.022,0.025,0.027,0.029,0.032,0.034,0.036,0.035,0.035,0.033,0.033,0.032,0.03,0.027,0.026,0.022,0.019,0.019,0.017,0.016,0.016,0.015,0.014,0.013,0.013,0.012,0.012,0.012,0.011
9,Female,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.019,0.02,0.021,0.021,0.021,0.021,0.021,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.018,0.017,0.017,0.017,0.016,0.016,0.016,0.015,0.015,0.015,0.018,0.015,0.014,0.013,0.013,0.013,0.013,0.014,0.014,0.016,0.017,0.019,0.021,0.024,0.025,0.027,0.03,0.032,0.034,0.033,0.034,0.032,0.032,0.03,0.029,0.026,0.025,0.022,0.019,0.018,0.017,0.016,0.015,0.014,0.013,0.012,0.012,0.011,0.011,0.011,0.01
10,Female,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.016,0.016,0.015,0.015,0.014,0.014,0.014,0.014,0.013,0.016,0.013,0.012,0.012,0.012,0.012,0.012,0.013,0.013,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0.028,0.03,0.032,0.032,0.033,0.032,0.032,0.03,0.028,0.025,0.024,0.022,0.019,0.018,0.016,0.015,0.014,0.013,0.013,0.012,0.012,0.011,0.011,0.01,0.01
11,Female,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.017,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.015,0.015,0.014,0.014,0.013,0.013,0.013,0.013,0.012,0.015,0.012,0.012,0.011,0.011,0.011,0.012,0.012,0.012,0.014,0.015,0.017,0.019,0.022,0.023,0.025,0.028,0.029,0.032,0.031,0.033,0.032,0.032,0.03,0.029,0.025,0.024,0.022,0.019,0.018,0.016,0.015,0.014,0.013,0.013,0.012,0.012,0.011,0.01,0.01,0.01
12,Female,0.014,0.014,0.014,0.014,0.014,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.014,0.014,0.013,0.013,0.013,0.012,0.012,0.012,0.014,0.012,0.011,0.011,0.011,0.011,0.011,0.012,0.012,0.014,0.015,0.017,0.019,0.022,0.024,0.026,0.029,0.03,0.033,0.033,0.034,0.034,0.034,0.033,0.031,0.027,0.026,0.023,0.02,0.019,0.017,0.016,0.015,0.014,0.013,0.013,0.012,0.012,0.011,0.01,0.01
13,Female,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.015,0.015,0.015,0.015,0.016,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.014,0.014,0.013,0.013,0.013,0.012,0.012,0.012,0.014,0.012,0.011,0.011,0.011,0.011,0.012,0.012,0.013,0.014,0.016,0.018,0.02,0.023,0.026,0.028,0.031,0.033,0.035,0.036,0.038,0.037,0.037,0.036,0.035,0.031,0.03,0.026,0.022,0.022,0.02,0.018,0.017,0.015,0.014,0.014,0.013,0.013,0.012,0.011,0.011
14,Female,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.015,0.015,0.015,0.015,0.016,0.016,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.014,0.014,0.014,0.013,0.013,0.012,0.012,0.014,0.012,0.012,0.012,0.011,0.012,0.012,0.013,0.014,0.015,0.017,0.019,0.021,0.025,0.028,0.031,0.035,0.037,0.04,0.04,0.042,0.042,0.042,0.041,0.04,0.036,0.035,0.03,0.026,0.025,0.023,0.021,0.019,0.018,0.016,0.016,0.015,0.014,0.014,0.013,0.012
15,Female,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.014,0.014,0.014,0.013,0.013,0.013,0.014,0.013,0.012,0.012,0.012,0.012,0.013,0.014,0.015,0.017,0.019,0.021,0.024,0.028,0.031,0.034,0.039,0.043,0.046,0.046,0.049,0.049,0.05,0.048,0.047,0.043,0.042,0.037,0.032,0.03,0.027,0.025,0.023,0.021,0.019,0.018,0.017,0.016,0.015,0.015,0.014
16,Female,0.014,0.014,0.014,0.014,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.014,0.014,0.013,0.014,0.013,0.013,0.013,0.013,0.013,0.014,0.015,0.016,0.018,0.02,0.023,0.025,0.03,0.033,0.037,0.042,0.047,0.051,0.052,0.055,0.055,0.056,0.054,0.053,0.049,0.048,0.043,0.038,0.035,0.031,0.028,0.026,0.024,0.022,0.021,0.019,0.018,0.017,0.016,0.015
17,Female,0.014,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.014,0.015,0.014,0.013,0.013,0.013,0.014,0.015,0.016,0.017,0.02,0.022,0.025,0.028,0.032,0.037,0.041,0.047,0.052,0.057,0.059,0.063,0.064,0.065,0.063,0.061,0.057,0.056,0.051,0.045,0.042,0.037,0.033,0.03,0.028,0.026,0.024,0.022,0.02,0.019,0.018,0.017
18,Female,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.018,0.019,0.019,0.019,0.018,0.018,0.018,0.018,0.017,0.017,0.016,0.016,0.016,0.015,0.015,0.015,0.016,0.014,0.014,0.014,0.014,0.014,0.015,0.017,0.018,0.021,0.024,0.027,0.03,0.035,0.04,0.045,0.052,0.057,0.063,0.067,0.072,0.074,0.075,0.072,0.07,0.066,0.066,0.059,0.053,0.049,0.044,0.039,0.034,0.031,0.029,0.027,0.025,0.023,0.021,0.019,0.018
