age,sex,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
19,Female,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.017,0.017,0.016,0.016,0.016,0.016,0.015,0.016,0.015,0.014,0.014,0.014,0.015,0.016,0.017,0.019,0.022,0.025,0.029,0.032,0.037,0.043,0.049,0.056,0.062,0.069,0.073,0.08,0.084,0.085,0.081,0.079,0.076,0.075,0.067,0.061,0.056,0.05,0.045,0.039,0.035,0.031,0.029,0.028,0.025,0.023,0.021,0.019
20,Female,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.019,0.02,0.02,0.019,0.019,0.019,0.018,0.018,0.017,0.017,0.016,0.016,0.016,0.016,0.017,0.015,0.015,0.015,0.015,0.015,0.016,0.018,0.02,0.023,0.027,0.031,0.033,0.04,0.046,0.053,0.06,0.067,0.075,0.08,0.088,0.094,0.096,0.092,0.09,0.086,0.084,0.076,0.07,0.063,0.057,0.051,0.045,0.039,0.034,0.031,0.03,0.027,0.025,0.022,0.02
21,Female,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.019,0.019,0.018,0.017,0.017,0.016,0.016,0.016,0.017,0.016,0.015,0.015,0.015,0.015,0.017,0.018,0.021,0.024,0.028,0.032,0.034,0.041,0.048,0.054,0.062,0.07,0.078,0.084,0.093,0.1,0.103,0.1,0.097,0.094,0.091,0.082,0.076,0.068,0.061,0.055,0.048,0.043,0.037,0.033,0.03,0.028,0.026,0.024,0.021
22,Female,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.02,0.021,0.021,0.02,0.02,0.019,0.019,0.018,0.017,0.017,0.016,0.016,0.017,0.016,0.015,0.015,0.015,0.016,0.017,0.019,0.021,0.025,0.03,0.035,0.036,0.043,0.05,0.058,0.066,0.075,0.084,0.091,0.1,0.109,0.113,0.11,0.108,0.106,0.102,0.092,0.087,0.077,0.068,0.061,0.053,0.047,0.041,0.037,0.033,0.029,0.028,0.025,0.023
23,Female,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.02,0.021,0.021,0.02,0.02,0.019,0.018,0.017,0.017,0.017,0.016,0.017,0.016,0.016,0.015,0.016,0.016,0.017,0.019,0.022,0.026,0.031,0.037,0.039,0.046,0.053,0.061,0.069,0.078,0.088,0.096,0.107,0.118,0.121,0.118,0.118,0.118,0.112,0.101,0.096,0.084,0.075,0.067,0.058,0.051,0.045,0.04,0.036,0.031,0.029,0.026,0.024
24,Female,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.02,0.021,0.021,0.02,0.019,0.018,0.018,0.017,0.017,0.016,0.017,0.016,0.016,0.016,0.016,0.016,0.018,0.02,0.023,0.027,0.033,0.038,0.041,0.048,0.056,0.064,0.072,0.082,0.092,0.101,0.112,0.125,0.129,0.126,0.126,0.129,0.122,0.111,0.106,0.091,0.082,0.073,0.063,0.056,0.048,0.043,0.039,0.033,0.031,0.027,0.025
25,Female,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.021,0.02,0.02,0.019,0.018,0.017,0.017,0.016,0.017,0.016,0.016,0.016,0.016,0.016,0.018,0.02,0.023,0.028,0.034,0.04,0.043,0.051,0.059,0.068,0.075,0.085,0.096,0.105,0.117,0.133,0.136,0.133,0.133,0.139,0.133,0.12,0.117,0.1,0.088,0.079,0.069,0.06,0.052,0.046,0.041,0.034,0.035,0.028,0.025
26,Female,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.019,0.018,0.018,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.017,0.019,0.021,0.024,0.029,0.035,0.042,0.045,0.054,0.062,0.071,0.079,0.089,0.099,0.109,0.121,0.138,0.143,0.139,0.14,0.147,0.141,0.13,0.127,0.108,0.096,0.085,0.075,0.066,0.056,0.05,0.044,0.036,0.039,0.03,0.026
27,Female,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.02,0.019,0.018,0.018,0.017,0.017,0.018,0.016,0.016,0.016,0.016,0.017,0.019,0.021,0.025,0.03,0.037,0.044,0.047,0.056,0.065,0.075,0.082,0.092,0.103,0.112,0.124,0.142,0.147,0.143,0.145,0.153,0.147,0.137,0.136,0.114,0.102,0.091,0.079,0.07,0.06,0.053,0.047,0.038,0.042,0.032,0.028
28,Female,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.017,0.017,0.018,0.016,0.016,0.016,0.016,0.017,0.019,0.022,0.025,0.031,0.038,0.045,0.048,0.058,0.067,0.077,0.085,0.094,0.104,0.113,0.124,0.142,0.146,0.143,0.145,0.155,0.148,0.139,0.14,0.119,0.105,0.094,0.083,0.072,0.063,0.056,0.049,0.039,0.044,0.034,0.029
29,Female,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.018,0.016,0.016,0.016,0.016,0.017,0.019,0.022,0.026,0.032,0.039,0.047,0.05,0.06,0.07,0.08,0.088,0.098,0.107,0.116,0.126,0.144,0.146,0.142,0.146,0.158,0.152,0.142,0.145,0.124,0.111,0.099,0.087,0.077,0.065,0.058,0.052,0.042,0.046,0.035,0.031
30,Female,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.017,0.018,0.018,0.018,0.017,0.018,0.017,0.016,0.016,0.016,0.017,0.019,0.022,0.026,0.032,0.04,0.048,0.052,0.061,0.071,0.081,0.09,0.1,0.11,0.117,0.126,0.143,0.144,0.139,0.142,0.155,0.15,0.141,0.144,0.124,0.113,0.101,0.088,0.078,0.068,0.059,0.054,0.044,0.049,0.036,0.032
31,Female,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.017,0.016,0.016,0.016,0.017,0.019,0.022,0.026,0.032,0.04,0.048,0.053,0.063,0.073,0.082,0.091,0.102,0.112,0.119,0.127,0.143,0.143,0.137,0.138,0.151,0.147,0.14,0.143,0.122,0.113,0.103,0.09,0.079,0.068,0.062,0.054,0.046,0.051,0.037,0.032
32,Female,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.017,0.017,0.019,0.017,0.017,0.016,0.017,0.017,0.019,0.022,0.026,0.033,0.041,0.049,0.054,0.065,0.075,0.085,0.093,0.104,0.115,0.123,0.13,0.145,0.144,0.136,0.136,0.147,0.143,0.137,0.143,0.122,0.112,0.103,0.092,0.081,0.07,0.063,0.057,0.047,0.054,0.039,0.034
33,Female,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.019,0.017,0.017,0.017,0.017,0.018,0.02,0.022,0.027,0.033,0.041,0.05,0.055,0.066,0.077,0.088,0.094,0.105,0.117,0.126,0.134,0.148,0.144,0.135,0.134,0.144,0.139,0.133,0.139,0.121,0.111,0.101,0.092,0.083,0.071,0.063,0.058,0.05,0.055,0.041,0.036
34,Female,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.018,0.018,0.017,0.017,0.017,0.018,0.02,0.023,0.027,0.033,0.041,0.05,0.056,0.067,0.079,0.09,0.097,0.107,0.118,0.128,0.138,0.153,0.148,0.136,0.133,0.143,0.137,0.13,0.136,0.118,0.11,0.101,0.09,0.083,0.073,0.065,0.058,0.051,0.058,0.041,0.037
35,Female,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.016,0.016,0.017,0.017,0.017,0.017,0.018,0.018,0.021,0.023,0.028,0.034,0.042,0.051,0.057,0.069,0.081,0.093,0.1,0.11,0.121,0.13,0.142,0.16,0.155,0.141,0.135,0.143,0.137,0.129,0.135,0.117,0.109,0.101,0.091,0.082,0.074,0.068,0.061,0.053,0.06,0.044,0.038
36,Female,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.017,0.016,0.017,0.018,0.018,0.019,0.021,0.024,0.028,0.034,0.042,0.051,0.057,0.069,0.081,0.093,0.101,0.111,0.121,0.13,0.141,0.16,0.159,0.145,0.137,0.141,0.134,0.126,0.131,0.113,0.105,0.098,0.09,0.081,0.071,0.067,0.062,0.055,0.061,0.044,0.04
37,Female,0.016,0.016,0.017,0.017,0.017,0.017,0.018,0.017,0.017,0.017,0.018,0.018,0.017,0.018,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.017,0.016,0.016,0.017,0.018,0.019,0.021,0.024,0.029,0.035,0.042,0.051,0.057,0.069,0.08,0.093,0.101,0.112,0.122,0.13,0.14,0.159,0.16,0.149,0.142,0.144,0.132,0.124,0.129,0.111,0.103,0.095,0.087,0.08,0.071,0.065,0.061,0.056,0.064,0.045,0.04
38,Female,0.016,0.016,0.017,0.017,0.017,0.017,0.018,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.014,0.014,0.015,0.015,0.017,0.016,0.016,0.017,0.018,0.019,0.022,0.025,0.029,0.035,0.043,0.051,0.057,0.068,0.08,0.092,0.1,0.111,0.122,0.13,0.138,0.155,0.156,0.148,0.145,0.147,0.132,0.12,0.124,0.108,0.1,0.092,0.084,0.077,0.07,0.064,0.059,0.057,0.066,0.046,0.041
39,Female,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.017,0.018,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.014,0.014,0.014,0.015,0.016,0.016,0.016,0.017,0.017,0.019,0.022,0.025,0.03,0.036,0.043,0.051,0.057,0.068,0.079,0.091,0.099,0.11,0.12,0.128,0.137,0.152,0.151,0.145,0.145,0.152,0.137,0.12,0.121,0.105,0.098,0.09,0.082,0.075,0.067,0.064,0.059,0.055,0.066,0.047,0.042
40,Female,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.014,0.014,0.015,0.016,0.016,0.016,0.017,0.017,0.018,0.022,0.026,0.03,0.036,0.044,0.052,0.057,0.067,0.078,0.089,0.097,0.108,0.118,0.126,0.135,0.149,0.147,0.139,0.14,0.149,0.141,0.124,0.118,0.101,0.094,0.088,0.08,0.072,0.065,0.061,0.058,0.056,0.065,0.047,0.043
41,Female,0.015,0.015,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.014,0.014,0.014,0.014,0.016,0.015,0.015,0.016,0.017,0.018,0.021,0.024,0.03,0.036,0.044,0.052,0.057,0.067,0.077,0.088,0.096,0.106,0.116,0.124,0.133,0.147,0.146,0.136,0.135,0.145,0.141,0.131,0.125,0.101,0.092,0.086,0.079,0.072,0.064,0.06,0.056,0.056,0.065,0.045,0.043
42,Female,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.014,0.014,0.014,0.016,0.015,0.015,0.016,0.017,0.018,0.021,0.024,0.029,0.036,0.044,0.052,0.057,0.066,0.075,0.086,0.093,0.102,0.112,0.12,0.128,0.141,0.14,0.131,0.128,0.135,0.131,0.127,0.128,0.104,0.089,0.082,0.076,0.07,0.063,0.058,0.055,0.054,0.066,0.046,0.042
43,Female,0.015,0.015,0.015,0.016,0.016,0.016,0.017,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.015,0.014,0.014,0.014,0.014,0.015,0.015,0.015,0.015,0.016,0.018,0.02,0.024,0.028,0.035,0.043,0.052,0.057,0.066,0.075,0.085,0.091,0.1,0.11,0.118,0.127,0.139,0.138,0.13,0.127,0.131,0.127,0.121,0.127,0.112,0.095,0.081,0.074,0.069,0.063,0.058,0.054,0.054,0.064,0.045,0.042
44,Female,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.015,0.014,0.014,0.014,0.014,0.015,0.015,0.015,0.015,0.016,0.017,0.02,0.023,0.028,0.034,0.042,0.051,0.057,0.066,0.075,0.084,0.09,0.098,0.107,0.115,0.124,0.137,0.136,0.127,0.125,0.129,0.124,0.116,0.119,0.111,0.103,0.086,0.073,0.067,0.062,0.058,0.054,0.054,0.064,0.044,0.042
45,Female,0.014,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.014,0.014,0.014,0.015,0.015,0.015,0.015,0.016,0.017,0.02,0.023,0.028,0.033,0.04,0.049,0.057,0.066,0.075,0.084,0.089,0.097,0.105,0.112,0.122,0.135,0.135,0.127,0.123,0.127,0.123,0.115,0.115,0.105,0.103,0.096,0.078,0.066,0.06,0.057,0.054,0.055,0.064,0.044,0.041
46,Female,0.014,0.014,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.014,0.014,0.014,0.015,0.015,0.015,0.015,0.016,0.017,0.019,0.022,0.027,0.033,0.04,0.047,0.054,0.065,0.074,0.084,0.089,0.096,0.103,0.109,0.118,0.132,0.133,0.126,0.123,0.125,0.122,0.114,0.115,0.102,0.097,0.096,0.088,0.072,0.059,0.056,0.054,0.055,0.066,0.044,0.041
47,Female,0.014,0.014,0.014,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.014,0.016,0.015,0.015,0.015,0.016,0.017,0.019,0.022,0.026,0.032,0.039,0.046,0.052,0.062,0.073,0.083,0.089,0.095,0.102,0.107,0.115,0.127,0.13,0.125,0.122,0.124,0.12,0.113,0.115,0.103,0.094,0.089,0.089,0.082,0.065,0.056,0.053,0.055,0.067,0.044,0.041
48,Female,0.014,0.014,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.016,0.015,0.015,0.016,0.016,0.017,0.019,0.022,0.026,0.032,0.038,0.045,0.051,0.059,0.07,0.082,0.088,0.094,0.101,0.105,0.112,0.123,0.125,0.122,0.121,0.124,0.119,0.11,0.113,0.103,0.096,0.087,0.081,0.082,0.076,0.062,0.053,0.055,0.067,0.045,0.042
49,Female,0.014,0.014,0.015,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.015,0.015,0.015,0.016,0.015,0.015,0.016,0.016,0.017,0.019,0.022,0.026,0.031,0.037,0.044,0.05,0.059,0.067,0.078,0.088,0.094,0.1,0.104,0.11,0.119,0.121,0.118,0.119,0.123,0.12,0.11,0.11,0.102,0.097,0.089,0.08,0.075,0.077,0.072,0.059,0.055,0.067,0.045,0.043
50,Female,0.014,0.015,0.015,0.015,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.017,0.016,0.016,0.016,0.017,0.018,0.02,0.023,0.026,0.031,0.037,0.043,0.048,0.057,0.065,0.074,0.083,0.093,0.099,0.103,0.108,0.116,0.117,0.112,0.113,0.119,0.119,0.111,0.107,0.098,0.095,0.09,0.082,0.073,0.069,0.072,0.068,0.062,0.068,0.046,0.043
51,Female,0.014,0.014,0.015,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017,0.017,0.016,0.016,0.016,0.016,0.017,0.016,0.016,0.016,0.017,0.018,0.02,0.023,0.026,0.03,0.036,0.042,0.047,0.055,0.063,0.072,0.08,0.089,0.098,0.102,0.107,0.113,0.114,0.109,0.109,0.114,0.116,0.111,0.111,0.098,0.093,0.089,0.084,0.077,0.068,0.065,0.069,0.072,0.075,0.045,0.042
52,Female,0.014,0.015,0.015,0.015,0.016,0.016,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.018,0.018,0.018,0.017,0.017,0.017,0.016,0.018,0.017,0.017,0.017,0.017,0.018,0.021,0.023,0.026,0.03,0.035,0.041,0.045,0.053,0.06,0.069,0.078,0.086,0.094,0.1,0.105,0.11,0.11,0.105,0.103,0.106,0.11,0.107,0.109,0.1,0.091,0.085,0.083,0.078,0.072,0.065,0.063,0.073,0.088,0.051,0.043
53,Female,0.014,0.015,0.015,0.015,0.016,0.016,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.017,0.017,0.017,0.018,0.017,0.017,0.017,0.018,0.019,0.021,0.023,0.026,0.03,0.035,0.04,0.044,0.051,0.058,0.066,0.076,0.084,0.091,0.097,0.103,0.108,0.107,0.102,0.1,0.102,0.104,0.103,0.105,0.101,0.095,0.085,0.079,0.078,0.074,0.068,0.062,0.067,0.089,0.059,0.048
54,Female,0.015,0.015,0.015,0.015,0.016,0.016,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.018,0.017,0.018,0.017,0.017,0.018,0.018,0.019,0.021,0.023,0.027,0.031,0.035,0.039,0.043,0.049,0.056,0.064,0.073,0.082,0.091,0.095,0.101,0.107,0.106,0.099,0.096,0.098,0.1,0.097,0.101,0.098,0.095,0.089,0.079,0.074,0.073,0.07,0.066,0.066,0.081,0.06,0.056
55,Female,0.015,0.015,0.015,0.015,0.016,0.016,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.018,0.018,0.018,0.019,0.018,0.018,0.018,0.018,0.019,0.021,0.024,0.027,0.031,0.035,0.039,0.042,0.048,0.054,0.062,0.07,0.079,0.089,0.096,0.101,0.106,0.105,0.098,0.094,0.095,0.098,0.094,0.096,0.095,0.094,0.091,0.084,0.074,0.07,0.071,0.068,0.071,0.08,0.055,0.058
56,Female,0.015,0.015,0.015,0.016,0.016,0.016,0.017,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.019,0.018,0.02,0.019,0.018,0.019,0.019,0.02,0.022,0.024,0.027,0.031,0.035,0.039,0.042,0.047,0.052,0.06,0.067,0.076,0.086,0.095,0.103,0.107,0.105,0.098,0.093,0.092,0.095,0.092,0.093,0.09,0.091,0.089,0.086,0.08,0.07,0.068,0.069,0.074,0.086,0.056,0.053
57,Female,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.021,0.021,0.02,0.02,0.02,0.019,0.019,0.019,0.02,0.019,0.019,0.019,0.019,0.02,0.022,0.024,0.027,0.031,0.035,0.039,0.042,0.047,0.051,0.058,0.066,0.073,0.083,0.092,0.102,0.11,0.109,0.1,0.094,0.091,0.093,0.09,0.091,0.089,0.087,0.087,0.085,0.083,0.077,0.068,0.066,0.075,0.089,0.06,0.053
58,Female,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.021,0.021,0.022,0.022,0.021,0.021,0.021,0.021,0.02,0.02,0.02,0.021,0.02,0.02,0.02,0.02,0.021,0.023,0.025,0.028,0.031,0.035,0.039,0.042,0.047,0.051,0.057,0.064,0.072,0.08,0.088,0.1,0.11,0.112,0.105,0.097,0.092,0.091,0.088,0.089,0.088,0.085,0.083,0.084,0.082,0.08,0.075,0.067,0.073,0.091,0.063,0.058
