Age,l(x),l(x),d(x),d(x)=l(x)-l(x+1),d(x),d(x)=l(x)-l(x+1),q(x),q(x)=d(x)/l(x),q(x),q(x)=d(x)/l(x),m(x),m(x)=d(x)/L(x),m(x),m(x)=d(x)/L(x),L(x),L(x)=l(x+1)+0.5*d(x),L(x)=(l(x)+l(x+1))/2,L(x),L(x)=l(x+1)+0.5*d(x),T(x),,,,T(x),,,e(x),e(x)=T(x)/l(x),e(x),
0,100000,100000,46.58390666,46.58390666,1039,1039,0.000465839,0.000465839,0.01039,0.01039,0.000465948,0.000465948,0.01044,0.01048944,99976.70805,99976.70805,99976.70805,99052,99480.5,3.30867E+14,3.30867E+14,3.30867E+14,-0.5," 7,182,893 "," 1,837,912 ",5344981,3308668659,3308668659,71.8,71.82893
1,99953.41609,98961,38.31421216,38.31421216,77,78,0.000383321,0.000383321,0.00078,0.000778084,0.000383394,0.000383394,0.00078,0.000778391,99934.25899,99934.25899,99934.25899,98922,98921.5,3.30867E+14,3.30867E+14,3.30867E+14,0,7083841,1738860,,3310210683,,71.6,
2,99915.10188,98883,34.22442268,34.22442268,53,53,0.000342535,0.000342535,0.00054,0.000535987,0.000342594,0.000342594,0.00054,0.000536128,99897.98967,99897.98967,99897.98967,98857,98856.5,3.30867E+14,3.30867E+14,3.30867E+14,0.5,6984919,1639938,,3311480041,,70.6,
3,99880.87746,98830,11.32133007,11.32133007,41,41,0.000113348,0.000113348,0.00042,0.000414854,0.000113355,0.000113355,0.00042,0.000414942,99875.21679,99875.21679,99875.21679,98809,98809.5,3.30867E+14,3.30867E+14,3.30867E+14,0,6886062,1541081,,3312614727,,69.7,
4,99869.55613,98789,11.4827128,11.4827128,34,35,0.000114977,0.000114977,0.00035,0.000344168,0.000114984,0.000114984,0.00035,0.000344231,99863.81477,99863.81477,99863.81477,98771,98771,3.30867E+14,3.30867E+14,3.30867E+14,0,6787252,1442272,,3312990248,,68.7,
5,99858.07342,98754,10.46473967,10.46473967,30,31,0.000104796,0.000104796,0.00031,0.000303785,0.000104802,0.000104802,0.00031,0.000303831,99852.84105,99852.84105,99852.84105,98739,98738,3.30867E+14,3.30867E+14,3.30867E+14,0.5,6688481,1343501,,3313371209,,67.7,
6,99847.60868,98723,8.199067145,8.199067145,27,27,8.21E-05,8.21158E-05,0.00028,0.000273492,8.21E-05,8.21192E-05,0.00028,0.000273529,99843.50914,99843.50914,99843.50914,98710,98709.5,3.30867E+14,3.30867E+14,3.30867E+14,0,6589742,1244762,,3313718472,,66.7,
7,99839.40961,98696,6.914612222,6.914612222,25,26,6.93E-05,6.92573E-05,0.00026,0.000253303,6.93E-05,6.92597E-05,0.00026,0.000253336,99835.9523,99835.9523,99835.9523,98683,98682.5,3.30867E+14,3.30867E+14,3.30867E+14,0,6491032,1146052,,3313990603,,65.8,
8,99832.495,98670,5.344577952,5.344577952,22,23,5.35E-05,5.35355E-05,0.00023,0.000222965,5.35E-05,5.35369E-05,0.00023,0.00022299,99829.82271,99829.82271,99829.82271,98659,98658,3.30867E+14,3.30867E+14,3.30867E+14,0,6392348,1047369,,3314220136,,64.8,
9,99827.15042,98647,5.554655528,5.554655528,19,19,5.56E-05,5.56427E-05,0.0002,0.000192606,5.56E-05,5.56443E-05,0.0002,0.000192625,99824.37309,99824.37309,99824.37309,98637,98637.5,3.30867E+14,3.30867E+14,3.30867E+14,0,6293689,948710,,3314397572,,63.8,
10,99821.59576,98628,5.196694097,5.196694098,16,98628,5.21E-05,5.20598E-05,0.00017,0.000162226,5.21E-05,5.20612E-05,0.00017,0.000162241,99818.99742,99818.99742,99818.99742,98619,8,3.30867E+14,3.30867E+14,3.30867E+14,0,6195051,850073,,3314582004,,62.8,
11,99816.39907,,5.276756991,5.276756991,,0,5.29E-05,5.28646E-05,,#DIV/0!,5.29E-05,5.2866E-05,,#DIV/0!,99813.76069,99813.76069,99813.76069,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,751454,,3314754568,,,
12,99811.12231,,2.979027509,2.979027509,,0,2.98E-05,2.98466E-05,,#DIV/0!,2.98E-05,2.98471E-05,,#DIV/0!,99809.6328,99809.6328,99809.6328,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,751454,,3314929810,,,
13,99808.14328,,3.633472933,3.633472933,,0,3.64E-05,3.64046E-05,,#DIV/0!,3.64E-05,3.64052E-05,,#DIV/0!,99806.32655,99806.32655,99806.32655,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,751454,,3315028751,,,
14,99804.50981,,3.332244671,3.332244671,,0,3.34E-05,3.33877E-05,,#DIV/0!,3.34E-05,3.33883E-05,,#DIV/0!,99802.84369,99802.84369,99802.84369,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,751454,,3315149437,,,
15,99801.17757,,5.253325971,5.253325971,,0,5.26E-05,5.26379E-05,,#DIV/0!,5.26E-05,5.26393E-05,,#DIV/0!,99798.5509,99798.5509,99798.5509,,0,3.30867E+14,3.30867E+14,3.30867E+14,0.5625,,751454,,3315260125,,,
16,99795.92424,,5.357553315,5.357553315,,0,5.37E-05,5.36851E-05,,#DIV/0!,5.37E-05,5.36865E-05,,#DIV/0!,99793.24546,99793.24546,99793.24546,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,751454,,3315434641,,,
17,99790.56669,,6.668925945,6.668925945,,0,6.68E-05,6.68292E-05,,#DIV/0!,6.68E-05,6.68315E-05,,#DIV/0!,99787.23222,99787.23222,99787.23222,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,751454,,3315612639,,,
18,99783.89776,,6.222831477,6.222831477,,0,6.24E-05,6.23631E-05,,#DIV/0!,6.24E-05,6.2365E-05,,#DIV/0!,99780.78635,99780.78635,99780.78635,,0,3.30867E+14,3.30867E+14,3.30867E+14,0.5625,,751454,,3315834233,,,
19,99777.67493,,8.61117907,8.61117907,,,8.63E-05,8.63037E-05,,#DIV/0!,8.63E-05,8.63074E-05,,#DIV/0!,99773.36934,99773.36934,99773.36934,,97855,3.30867E+14,3.30867E+14,3.30867E+14,0,,751454,,3316041031,,,
20,99769.06375,97855,6.92618559,6.92618559,151,1689,6.94E-05,6.94222E-05,0.00155,0.001543099,6.94E-05,6.94246E-05,0.00155,0.001544299,99765.60066,99765.60066,99765.60066,97779,75.5,3.30867E+14,3.30867E+14,3.30867E+14,0,5211251,751454,,3316327241,,53.3,
21,99762.13757,,7.852759052,7.852759052,,0,7.87E-05,7.87148E-05,,#DIV/0!,7.87E-05,7.87179E-05,,#DIV/0!,99758.21119,99758.21119,99758.21119,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,653675,,3316557482,,,
22,99754.28481,,8.987489752,8.987489752,,0,9.01E-05,9.00963E-05,,#DIV/0!,9.01E-05,9.01003E-05,,#DIV/0!,99749.79106,99749.79106,99749.79106,,0,3.30867E+14,3.30867E+14,3.30867E+14,0.5625,,653675,,3316818564,,,
23,99745.29732,,10.01955309,10.01955309,,0,0.000100451,0.000100451,,#DIV/0!,0.000100456,0.000100456,,#DIV/0!,99740.28754,99740.28754,99740.28754,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,653675,,3317117423,,,
24,99735.27776,,10.07403643,10.07403643,,0,0.000101008,0.000101008,,#DIV/0!,0.000101013,0.000101013,,#DIV/0!,99730.24075,99730.24075,99730.24075,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,653675,,3317450665,,,
25,99725.20373,,14.09779248,14.09779248,,0,0.000141366,0.000141366,,#DIV/0!,0.000141376,0.000141376,,#DIV/0!,99718.15483,99718.15483,99718.15483,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,653675,,3317785786,,,
26,99711.10593,,17.5745682,17.5745682,,0,0.000176255,0.000176255,,#DIV/0!,0.00017627,0.00017627,,#DIV/0!,99702.31865,99702.31865,99702.31865,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,653675,,3318254874,,,
27,99693.53137,,18.31997421,18.31997421,,0,0.000183763,0.000183763,,#DIV/0!,0.00018378,0.00018378,,#DIV/0!,99684.37138,99684.37138,99684.37138,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,653675,,3318839835,,,
28,99675.21139,,22.2516951,22.2516951,,0,0.000223242,0.000223242,,#DIV/0!,0.000223267,0.000223267,,#DIV/0!,99664.08554,99664.08554,99664.08554,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,653675,,3319449826,,,
29,99652.9597,,22.24145256,22.24145256,,,0.000223189,0.000223189,,#DIV/0!,0.000223214,0.000223214,,#DIV/0!,99641.83897,99641.83897,99641.83897,,96166,3.30867E+14,3.30867E+14,3.30867E+14,0,,653675,,3320191031,,,
30,99630.71824,96166,27.68294214,27.68294214,197,96166,0.000277855,0.000277855,0.00205,0.002048541,0.000277894,0.000277894,0.00205,0.002050631,99616.87677,99616.87677,99616.87677,96068,98.5,3.30867E+14,3.30867E+14,3.30867E+14,0,4240855,653675,,3320932226,,44.1,
31,99603.0353,,28.10100745,28.10100745,,0,0.00028213,0.00028213,,#DIV/0!,0.00028217,0.00028217,,#DIV/0!,99588.9848,99588.9848,99588.9848,,0,3.30867E+14,3.30867E+14,3.30867E+14,0.5,,557607,,3321855221,,,
32,99574.9343,,27.79331688,27.79331688,,0,0.00027912,0.00027912,,#DIV/0!,0.000279159,0.000279159,,#DIV/0!,99561.03764,99561.03764,99561.03764,,0,3.30867E+14,3.30867E+14,3.30867E+14,0.5,,557607,,3322792679,,,
33,99547.14098,,25.22152091,25.22152091,,0,0.000253363,0.000253363,,#DIV/0!,0.000253395,0.000253395,,#DIV/0!,99534.53022,99534.53022,99534.53022,,0,3.30867E+14,3.30867E+14,3.30867E+14,0.5625,,557607,,3323720394,,,
34,99521.91946,,31.41741639,31.41741639,,0,0.000315683,0.000315683,,#DIV/0!,0.000315733,0.000315733,,#DIV/0!,99506.21075,99506.21075,99506.21075,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,557607,,3324562713,,,
35,99490.50204,,33.41077055,33.41077055,,0,0.000335819,0.000335819,,#DIV/0!,0.000335875,0.000335875,,#DIV/0!,99473.79666,99473.79666,99473.79666,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,557607,,3325612552,,,
36,99457.09127,,33.52650637,33.52650637,,0,0.000337095,0.000337095,,#DIV/0!,0.000337152,0.000337152,,#DIV/0!,99440.32802,99440.32802,99440.32802,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,557607,,3326729729,,,
37,99423.56476,,38.51286134,38.51286134,,0,0.000387362,0.000387362,,#DIV/0!,0.000387437,0.000387437,,#DIV/0!,99404.30833,99404.30833,99404.30833,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,557607,,3327851531,,,
38,99385.0519,,43.81372232,43.81372232,,0,0.000440848,0.000440848,,#DIV/0!,0.000440945,0.000440945,,#DIV/0!,99363.14504,99363.14504,99363.14504,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,557607,,3329141111,,,
39,99341.23818,,40.71734546,40.71734546,,-93762,0.000409874,0.000409874,,#DIV/0!,0.000409958,0.000409958,,#DIV/0!,99320.87951,99320.87951,99320.87951,,93762,3.30867E+14,3.30867E+14,3.30867E+14,0,,557607,,3330609403,,,
40,99300.52083,93762,47.4338094,47.4338094,295,93762,0.000477679,0.000477679,0.00315,0.003146264,0.000477793,0.000477793,0.00316,0.003151238,99276.80393,99276.80393,99276.80393,93614,147.5,3.30867E+14,3.30867E+14,3.30867E+14,0,3290379,557607,,3331975091,,35.1,
41,99253.08703,,46.89225372,46.89225372,,0,0.000472451,0.000472451,,#DIV/0!,0.000472563,0.000472563,,#DIV/0!,99229.6409,99229.6409,99229.6409,,0,3.30867E+14,3.30867E+14,3.30867E+14,0.5625,,463993,,3333567466,,,
42,99206.19477,,57.68805145,57.68805145,,0,0.000581496,0.000581496,,#DIV/0!,0.000581666,0.000581666,,#DIV/0!,99177.35075,99177.35075,99177.35075,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,463993,,3335143158,,,
43,99148.50672,,71.85892604,71.85892604,,0,0.000724761,0.000724761,,#DIV/0!,0.000725023,0.000725023,,#DIV/0!,99112.57726,99112.57726,99112.57726,,0,3.30867E+14,3.30867E+14,3.30867E+14,0.5625,,463993,,3337083659,,,
44,99076.64779,,77.10451211,77.10451211,,0,0.000778231,0.000778231,,#DIV/0!,0.000778534,0.000778534,,#DIV/0!,99038.09554,99038.09554,99038.09554,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,463993,,3339503999,,,
45,98999.54328,,70.96819213,70.96819213,,0,0.000716854,0.000716854,,#DIV/0!,0.000717111,0.000717111,,#DIV/0!,98964.05919,98964.05919,98964.05919,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,463993,,3342104927,,,
46,98928.57509,,76.03623607,76.03623607,,0,0.000768597,0.000768597,,#DIV/0!,0.000768893,0.000768893,,#DIV/0!,98890.55697,98890.55697,98890.55697,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,463993,,3344502446,,,
47,98852.53885,,78.86743201,78.86743201,,0,0.000797829,0.000797829,,#DIV/0!,0.000798148,0.000798147,,#DIV/0!,98813.10514,98813.10514,98813.10514,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,463993,,3347074997,,,
48,98773.67142,,67.73085374,67.73085374,,0,0.000685718,0.000685718,,#DIV/0!,0.000685953,0.000685953,,#DIV/0!,98739.806,98739.806,98739.806,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,463993,,3349747522,,,
49,98705.94057,,80.15593151,80.15593151,,-89867,0.000812068,0.000812068,,#DIV/0!,0.000812398,0.000812398,,#DIV/0!,98665.8626,98665.8626,98665.8626,,89867,3.30867E+14,3.30867E+14,3.30867E+14,0,,463993,,3352046079,,,
50,98625.78464,89867,89.1100236,89.1100236,566,566,0.000903516,0.000903516,0.0063,0.006298196,0.000903925,0.000903925,0.00632,0.006318093,98581.22962,98581.22962,98581.22962,89584,89584,3.30867E+14,3.30867E+14,3.30867E+14,0,2370098,463993,,3354770379,,26.4,
51,98536.67461,89301,88.23306717,88.23306717,615,89301,0.000895434,0.000895434,0.00689,0.006886821,0.000895835,0.000895835,0.00691,0.006910656,98492.55808,98492.55808,98492.55808,88993,307.5,3.30867E+14,3.30867E+14,3.30867E+14,0,2280513,374409,,3357804210,,25.5,
52,98448.44155,,81.65651268,81.65651268,,0,0.000829434,0.000829434,,#DIV/0!,0.000829778,0.000829778,,#DIV/0!,98407.61329,98407.61329,98407.61329,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,285416,,3360813595,,,
53,98366.78503,,112.6668628,112.6668628,,0,0.001145375,0.001145375,,#DIV/0!,0.001146032,0.001146031,,#DIV/0!,98310.4516,98310.4516,98310.4516,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,285416,,3363603482,,,
54,98254.11817,,116.3831692,116.3831692,,0,0.001184512,0.001184512,,#DIV/0!,0.001185214,0.001185214,,#DIV/0!,98195.92659,98195.92659,98195.92659,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,285416,,3367460486,,,
55,98137.735,,112.7785876,112.7785876,,0,0.001149187,0.001149187,,#DIV/0!,0.001149848,0.001149847,,#DIV/0!,98081.34571,98081.34571,98081.34571,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,285416,,3371454012,,,
56,98024.95641,,136.286773,136.286773,,0,0.001390327,0.001390327,,#DIV/0!,0.001391295,0.001391294,,#DIV/0!,97956.81303,97956.81303,97956.81303,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,285416,,3375332899,,,
57,97888.66964,,142.7726025,142.7726025,,0,0.00145852,0.00145852,,#DIV/0!,0.001459585,0.001459585,,#DIV/0!,97817.28334,97817.28334,97817.28334,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,285416,,3380032249,,,
58,97745.89704,,108.1531735,108.1531735,,0,0.001106473,0.001106473,,#DIV/0!,0.001107085,0.001107085,,#DIV/0!,97691.82045,97691.82045,97691.82045,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,285416,,3384969295,,,
59,97637.74386,,138.8619231,138.8619231,,-81381,0.001422216,0.001422216,,#DIV/0!,0.001423228,0.001423228,,#DIV/0!,97568.3129,97568.3129,97568.3129,,81381,3.30867E+14,3.30867E+14,3.30867E+14,0,,285416,,3388718819,,,
60,97498.88194,81381,202.4454893,202.4454893,1294,81381,0.002076388,0.002076388,0.01591,0.015900517,0.002078546,0.002078546,0.01604,0.016028142,97397.6592,97397.6592,97397.6592,80733,647,3.30867E+14,3.30867E+14,3.30867E+14,0,1508080,285416,,3393545171,,18.5,
61,97296.43645,,209.3200128,209.3200128,,0,0.002151364,0.002151364,,#DIV/0!,0.002153681,0.00215368,,#DIV/0!,97191.77645,97191.77645,97191.77645,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,204683,,3400606147,,,
62,97087.11644,,198.4721456,198.4721456,,0,0.002044269,0.002044269,,#DIV/0!,0.002046361,0.00204636,,#DIV/0!,96987.88037,96987.88037,96987.88037,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,204683,,3407937859,,,
63,96888.64429,,250.2688536,250.2688536,,0,0.002583057,0.002583057,,#DIV/0!,0.002586398,0.002586397,,#DIV/0!,96763.50987,96763.50987,96763.50987,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,204683,,3414918870,,,
64,96638.37544,,283.2187584,283.2187584,,0,0.002930707,0.002930707,,#DIV/0!,0.00293501,0.002935008,,#DIV/0!,96496.76606,96496.76606,96496.76606,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,204683,,3423762641,,,
65,96355.15668,,316.5156196,316.5156196,,0,0.003284885,0.003284885,,#DIV/0!,0.003290292,0.003290289,,#DIV/0!,96196.89887,96196.89887,96196.89887,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,204683,,3433826179,,,
66,96038.64106,,292.0023334,292.0023334,,0,0.003040467,0.003040467,,#DIV/0!,0.003045099,0.003045096,,#DIV/0!,95892.6399,95892.6399,95892.6399,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,204683,,3445143077,,,
67,95746.63873,,315.6860694,315.6860694,,0,0.003297098,0.003297098,,#DIV/0!,0.003302546,0.003302543,,#DIV/0!,95588.79569,95588.79569,95588.79569,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,204683,,3455649866,,,
68,95430.95266,,390.823015,390.823015,,0,0.004095349,0.004095349,,#DIV/0!,0.004103757,0.004103752,,#DIV/0!,95235.54115,95235.54115,95235.54115,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,204683,,3467081172,,,
69,95040.12964,,384.9244657,384.9244657,,-64109,0.004050126,0.004050126,,#DIV/0!,0.00405835,0.004058344,,#DIV/0!,94847.66741,94847.66741,94847.66741,,64109,3.30867E+14,3.30867E+14,3.30867E+14,0,,204683,,3481338465,,,
70,94655.20518,64109,390.0406068,390.0406068,2312,64109,0.004120646,0.004120646,0.03607,0.036063579,0.004129159,0.004129154,0.03674,0.036725811,94460.18488,94460.18488,94460.18488,62953,1156,3.30867E+14,3.30867E+14,3.30867E+14,0,772498,204683,,3495495661,,12,
71,94265.16457,,636.9705651,636.9705651,,0,0.006757221,0.006757221,,#DIV/0!,0.006780155,0.006780129,,#DIV/0!,93946.67929,93946.67929,93946.67929,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,141730,,3509958959,,,
72,93628.19401,,841.5440323,841.5440323,,0,0.008988148,0.008988148,,#DIV/0!,0.009028785,0.009028723,,#DIV/0!,93207.42199,93207.42199,93207.42199,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,141730,,3533837882,,,
73,92786.64997,,876.3484689,876.3484689,,0,0.009444769,0.009444769,,#DIV/0!,0.009489654,0.009489582,,#DIV/0!,92348.47574,92348.47574,92348.47574,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,141730,,3565888614,,,
74,91910.30151,,983.6469251,983.6469251,,-51387,0.010702249,0.010702249,,#DIV/0!,0.01075993,0.010759826,,#DIV/0!,91418.47804,91418.47804,91418.47804,,51387,3.30867E+14,3.30867E+14,3.30867E+14,0,,141730,,3599888730,,,
75,90926.65458,51387,1040.881123,1040.881123,2822,2822,0.011447481,0.011447481,0.05492,0.054916613,0.011513507,0.01151338,0.05649,0.056467104,90406.21402,90406.21402,90406.21402,49976,49976,3.30867E+14,3.30867E+14,3.30867E+14,0,482656,141730,,3638832420,,9.4,
76,89885.77346,48565,830.9447972,830.9447972,2886,48565,0.009244453,0.009244453,0.05943,0.059425512,0.009287448,0.009287381,0.06127,0.061246578,89470.30106,89470.30106,89470.30106,47121,1443,3.30867E+14,3.30867E+14,3.30867E+14,0,432679,91754,,3680970255,,8.9,
77,89054.82866,,715.1194801,715.1194801,,0,0.008030103,0.008030103,,#DIV/0!,0.008062518,0.008062475,,#DIV/0!,88697.26892,88697.26892,88697.26892,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,44633,,3715316320,,,
78,88339.70918,,914.7921818,914.7921818,,0,0.01035539,0.01035539,,#DIV/0!,0.010409381,0.010409287,,#DIV/0!,87882.31309,87882.31309,87882.31309,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,44633,,3745392206,,,
79,87424.917,,910.3681416,910.3681416,,-36750,0.010413143,0.010413143,,#DIV/0!,0.010467739,0.010467643,,#DIV/0!,86969.73293,86969.73293,86969.73293,,36750,3.30867E+14,3.30867E+14,3.30867E+14,0,,44633,,3784583040,,,
80,86514.54886,36750,845.5956184,845.5956184,3044,36750,0.009774028,0.009774028,0.08283,0.082829932,0.009822107,0.009822028,0.08646,0.086408539,86091.75105,86091.75105,86091.75105,35228,1522,3.30867E+14,3.30867E+14,3.30867E+14,0,261838,44633,,3824407137,,7.1,
81,85668.95324,,1407.89864,1407.89864,,0,0.016434176,0.016434176,,#DIV/0!,0.016570715,0.016570336,,#DIV/0!,84965.00392,84965.00392,84965.00392,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,9405,,3862155956,,,
82,84261.0546,,1649.86946,1649.86946,,0,0.019580451,0.019580451,,#DIV/0!,0.019774688,0.019774043,,#DIV/0!,83436.11987,83436.11987,83436.11987,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,9405,,3926687833,,,
83,82611.18514,,1797.435993,1797.435993,,0,0.02175778,0.02175778,,#DIV/0!,0.021997971,0.021997084,,#DIV/0!,81712.46714,81712.46714,81712.46714,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,9405,,4005109687,,,
84,80813.74915,,2332.481297,2332.481297,,0,0.028862431,0.028862431,,#DIV/0!,0.029287144,0.02928505,,#DIV/0!,79647.5085,79647.5085,79647.5085,,0,3.30867E+14,3.30867E+14,3.30867E+14,-0.5,,9405,,4094190175,,,
85,78481.26785,,2628.548948,2628.548948,,0,0.033492692,0.033492692,,#DIV/0!,0.034066419,0.034063125,,#DIV/0!,77166.99338,77166.99338,77166.99338,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,9405,,4215870446,,,
86,75852.7189,,2577.428927,2577.428927,,0,0.033979387,0.033979387,,#DIV/0!,0.034570107,0.034566665,,#DIV/0!,74564.00444,74564.00444,74564.00444,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,9405,,4361964375,,,
87,73275.28997,,3505.338737,3505.338737,,0,0.047837937,0.047837937,,#DIV/0!,0.049020025,0.049010211,,#DIV/0!,71522.62061,71522.62061,71522.62061,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,9405,,4515394721,,,
88,69769.95124,,4377.11042,4377.11042,,0,0.062736326,0.062736326,,#DIV/0!,0.064790634,0.064767979,,#DIV/0!,67581.39603,67581.39603,67581.39603,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,9405,,4742254388,,,
89,65392.84082,,4363.615273,4363.615273,,-9878,0.066729251,0.066729251,,#DIV/0!,0.069059928,0.069032494,,#DIV/0!,63211.03318,63211.03318,63211.03318,,9878,3.30867E+14,3.30867E+14,3.30867E+14,0,,9405,,5059680131,,,
90,61029.22554,9878,6212.117802,6212.117802,1823,9878,0.101789229,0.101789229,0.1846,0.184551529,0.107350526,0.107247552,0.20408,0.203323667,57923.16664,57923.16664,57923.16664,8966,911.5,3.30867E+14,3.30867E+14,3.30867E+14,0,38380,9405,,5421449385,,3.9,
91,54817.10774,,7349.359469,7349.359469,,0,0.134070544,0.134070544,,#DIV/0!,0.143951834,0.143703765,,#DIV/0!,51142.42801,51142.42801,51142.42801,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,439,,6035832076,,,
92,47467.74827,,5573.594792,5573.594792,,0,0.117418563,0.117418563,,#DIV/0!,0.124904215,0.124742081,,#DIV/0!,44680.95088,44680.95088,44680.95088,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,439,,6970350801,,,
93,41894.15348,,4088.286951,4088.286951,,0,0.097586098,0.097586098,,#DIV/0!,0.102681992,0.102591868,,#DIV/0!,39850.01001,39850.01001,39850.01001,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,439,,7897685707,,,
94,37805.86653,,3215.493719,3215.493719,,0,0.085052771,0.085052771,,#DIV/0!,0.088888889,0.088830407,,#DIV/0!,36198.11967,36198.11967,36198.11967,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,439,,8751733196,,,
95,34590.37281,,1503.687121,1503.687121,,0,0.043471261,0.043471261,,#DIV/0!,0.044444444,0.04443713,,#DIV/0!,33838.52925,33838.52925,33838.52925,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,439,,9565287396,,,
96,33086.68569,,0,0,,0,0,0,,#DIV/0!,0,0,,#DIV/0!,33086.68569,33086.68569,33086.68569,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,439,,10000000004,,,
97,33086.68569,,0,0,,0,0,0,,#DIV/0!,0,0,,#DIV/0!,33086.68569,33086.68569,33086.68569,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,439,,10000000003,,,
98,33086.68569,,0,0,,0,0,0,,#DIV/0!,0,0,,#DIV/0!,33086.68569,33086.68569,33086.68569,,0,3.30867E+14,3.30867E+14,3.30867E+14,0,,439,,10000000002,,,
99,33086.68569,,0,0,,-528,0,0,,#DIV/0!,0,0,,#DIV/0!,33086.68569,33086.68569,33086.68569,,528,3.30867E+14,3.30867E+14,3.30867E+14,0,,439,,10000000001,,,
100,33086.68569,528,33086.68569,33086.68569,177,528,1,1,0.33505,0.335227273,0,1E-10,0.40804,0.403189066,3.30867E+14,16543.34285,16543.34285,439,88.5,3.30867E+14,3.30867E+14,3.30867E+14,0,1190,439,,0,,2.3,