"Time","AgeGrp","ASFR"
1990,15,"59.629"
1990,16,"103.224"
1990,17,"147.278"
1990,18,"187.142"
1990,19,"214.418"
1990,20,"228.677"
1990,21,"236.693"
1990,22,"240.406"
1990,23,"241.835"
1990,24,"241.512"
1990,25,"239.822"
1990,26,"236.761"
1990,27,"232.572"
1990,28,"227.312"
1990,29,"221.054"
1990,30,"213.94"
1990,31,"206.731"
1990,32,"199.396"
1990,33,"191.248"
1990,34,"182.179"
1990,35,"172.307"
1990,36,"161.778"
1990,37,"150.131"
1990,38,"137.299"
1990,39,"123.362"
1990,40,"108.65"
1990,41,"91.785"
1990,42,"73.678"
1990,43,"56.704"
1990,44,"41.659"
1990,45,"28.528"
1990,46,"20.002"
1990,47,"13.644"
1990,48,"9.044"
1990,49,"5.225"
1991,15,"58.212"
1991,16,"101.357"
1991,17,"144.52"
1991,18,"182.964"
1991,19,"208.268"
1991,20,"220.225"
1991,21,"226.912"
1991,22,"230.422"
1991,23,"232.431"
1991,24,"233.278"
1991,25,"232.872"
1991,26,"230.981"
1991,27,"227.624"
1991,28,"222.815"
1991,29,"216.666"
1991,30,"209.35"
1991,31,"201.888"
1991,32,"194.296"
1991,33,"186.008"
1991,34,"176.923"
1991,35,"167.093"
1991,36,"156.601"
1991,37,"145.093"
1991,38,"132.505"
1991,39,"118.831"
1991,40,"104.369"
1991,41,"87.945"
1991,42,"70.421"
1991,43,"54.037"
1991,44,"39.553"
1991,45,"26.951"
1991,46,"18.821"
1991,47,"12.766"
1991,48,"8.393"
1991,49,"4.807"
1992,15,"57.515"
1992,16,"100.745"
1992,17,"143.189"
1992,18,"179.917"
1992,19,"202.478"
1992,20,"211.007"
1992,21,"215.463"
1992,22,"218.209"
1992,23,"220.57"
1992,24,"222.681"
1992,25,"223.929"
1992,26,"223.813"
1992,27,"221.952"
1992,28,"218.254"
1992,29,"212.804"
1992,30,"205.796"
1992,31,"198.455"
1992,32,"190.846"
1992,33,"182.503"
1992,34,"173.348"
1992,35,"163.45"
1992,36,"152.934"
1992,37,"141.514"
1992,38,"129.123"
1992,39,"115.674"
1992,40,"101.49"
1992,41,"85.365"
1992,42,"68.193"
1992,43,"52.14"
1992,44,"37.95"
1992,45,"25.537"
1992,46,"17.672"
1992,47,"11.83"
1992,48,"7.636"
1992,49,"4.291"
1993,15,"54.899"
1993,16,"96.523"
1993,17,"137.88"
1993,18,"174.204"
1993,19,"196.88"
1993,20,"205.834"
1993,21,"210.19"
1993,22,"212.236"
1993,23,"213.727"
1993,24,"214.97"
1993,25,"215.641"
1993,26,"215.363"
1993,27,"213.747"
1993,28,"210.654"
1993,29,"205.947"
1993,30,"199.76"
1993,31,"193.017"
1993,32,"185.78"
1993,33,"177.606"
1993,34,"168.457"
1993,35,"158.498"
1993,36,"148.002"
1993,37,"136.682"
1993,38,"124.489"
1993,39,"111.351"
1993,40,"97.637"
1993,41,"81.996"
1993,42,"65.357"
1993,43,"49.814"
1993,44,"36.086"
1993,45,"23.991"
1993,46,"16.451"
1993,47,"10.88"
1993,48,"6.924"
1993,49,"3.839"
1994,15,"52.144"
1994,16,"92.396"
1994,17,"132.687"
1994,18,"168.349"
1994,19,"190.644"
1994,20,"199.447"
1994,21,"203.95"
1994,22,"206.359"
1994,23,"208.167"
1994,24,"209.594"
1994,25,"210.22"
1994,26,"209.656"
1994,27,"207.782"
1994,28,"204.507"
1994,29,"199.659"
1994,30,"193.326"
1994,31,"186.671"
1994,32,"179.736"
1994,33,"172.162"
1994,34,"163.832"
1994,35,"154.626"
1994,36,"144.465"
1994,37,"133.37"
1994,38,"121.306"
1994,39,"108.113"
1994,40,"94.004"
1994,41,"78.454"
1994,42,"62.186"
1994,43,"47.118"
1994,44,"33.911"
1994,45,"22.503"
1994,46,"15.346"
1994,47,"10.081"
1994,48,"6.358"
1994,49,"3.49"
1995,15,"49.898"
1995,16,"89.161"
1995,17,"128.627"
1995,18,"163.656"
1995,19,"185.326"
1995,20,"193.501"
1995,21,"197.71"
1995,22,"200.178"
1995,23,"202.343"
1995,24,"204.355"
1995,25,"205.564"
1995,26,"205.478"
1995,27,"203.892"
1995,28,"200.699"
1995,29,"195.75"
1995,30,"189.155"
1995,31,"182.203"
1995,32,"174.974"
1995,33,"167.196"
1995,34,"158.765"
1995,35,"149.53"
1995,36,"139.388"
1995,37,"128.417"
1995,38,"116.58"
1995,39,"103.676"
1995,40,"89.895"
1995,41,"74.834"
1995,42,"59.172"
1995,43,"44.711"
1995,44,"32.072"
1995,45,"21.203"
1995,46,"14.4"
1995,47,"9.41"
1995,48,"5.897"
1995,49,"3.214"
1996,15,"47.525"
1996,16,"85.284"
1996,17,"123.563"
1996,18,"157.885"
1996,19,"179.37"
1996,20,"187.782"
1996,21,"192.156"
1996,22,"194.631"
1996,23,"196.764"
1996,24,"198.744"
1996,25,"199.973"
1996,26,"199.984"
1996,27,"198.573"
1996,28,"195.616"
1996,29,"190.897"
1996,30,"184.501"
1996,31,"177.623"
1996,32,"170.356"
1996,33,"162.521"
1996,34,"154.037"
1996,35,"144.752"
1996,36,"134.575"
1996,37,"123.649"
1996,38,"111.952"
1996,39,"99.278"
1996,40,"85.794"
1996,41,"71.209"
1996,42,"56.15"
1996,43,"42.313"
1996,44,"30.275"
1996,45,"19.978"
1996,46,"13.54"
1996,47,"8.826"
1996,48,"5.515"
1996,49,"2.996"
1997,15,"44.905"
1997,16,"80.717"
1997,17,"117.676"
1997,18,"151.561"
1997,19,"173.498"
1997,20,"182.978"
1997,21,"187.646"
1997,22,"189.514"
1997,23,"190.765"
1997,24,"191.842"
1997,25,"192.576"
1997,26,"192.678"
1997,27,"191.846"
1997,28,"189.88"
1997,29,"186.266"
1997,30,"180.995"
1997,31,"174.747"
1997,32,"167.619"
1997,33,"159.568"
1997,34,"150.597"
1997,35,"140.73"
1997,36,"130.098"
1997,37,"118.865"
1997,38,"107.045"
1997,39,"94.493"
1997,40,"81.406"
1997,41,"67.339"
1997,42,"52.926"
1997,43,"39.778"
1997,44,"28.428"
1997,45,"18.731"
1997,46,"12.693"
1997,47,"8.275"
1997,48,"5.173"
1997,49,"2.812"
1998,15,"43.52"
1998,16,"78.694"
1998,17,"115.394"
1998,18,"149.426"
1998,19,"171.625"
1998,20,"181.296"
1998,21,"185.542"
1998,22,"186.39"
1998,23,"186.617"
1998,24,"186.85"
1998,25,"187.124"
1998,26,"187.213"
1998,27,"186.615"
1998,28,"185.059"
1998,29,"181.901"
1998,30,"177.128"
1998,31,"171.101"
1998,32,"163.938"
1998,33,"155.57"
1998,34,"146.08"
1998,35,"135.753"
1998,36,"125.051"
1998,37,"113.938"
1998,38,"102.424"
1998,39,"90.412"
1998,40,"78.235"
1998,41,"64.832"
1998,42,"50.986"
1998,43,"38.297"
1998,44,"27.298"
1998,45,"17.695"
1998,46,"11.873"
1998,47,"7.634"
1998,48,"4.693"
1998,49,"2.509"
1999,15,"43.388"
1999,16,"79.402"
1999,17,"117.028"
1999,18,"151.845"
1999,19,"174.152"
1999,20,"183.213"
1999,21,"186.71"
1999,22,"186.787"
1999,23,"186.375"
1999,24,"186.112"
1999,25,"185.941"
1999,26,"185.59"
1999,27,"184.572"
1999,28,"182.619"
1999,29,"179.089"
1999,30,"173.989"
1999,31,"167.823"
1999,32,"160.705"
1999,33,"152.473"
1999,34,"143.187"
1999,35,"133.126"
1999,36,"122.739"
1999,37,"111.947"
1999,38,"100.738"
1999,39,"88.978"
1999,40,"77.027"
1999,41,"63.79"
1999,42,"50.085"
1999,43,"37.476"
1999,44,"26.5"
1999,45,"16.822"
1999,46,"11.106"
1999,47,"6.971"
1999,48,"4.145"
1999,49,"2.135"
2000,15,"42.834"
2000,16,"79.236"
2000,17,"117.079"
2000,18,"151.772"
2000,19,"173.386"
2000,20,"181.297"
2000,21,"184.168"
2000,22,"184.218"
2000,23,"183.983"
2000,24,"183.948"
2000,25,"183.818"
2000,26,"183.224"
2000,27,"181.946"
2000,28,"179.758"
2000,29,"175.981"
2000,30,"170.545"
2000,31,"164.358"
2000,32,"157.497"
2000,33,"149.944"
2000,34,"141.645"
2000,35,"132.462"
2000,36,"122.243"
2000,37,"111.403"
2000,38,"99.957"
2000,39,"87.647"
2000,40,"74.544"
2000,41,"60.983"
2000,42,"47.408"
2000,43,"35.168"
2000,44,"24.721"
2000,45,"15.994"
2000,46,"10.65"
2000,47,"6.764"
2000,48,"4.052"
2000,49,"2.098"
2001,15,"41.337"
2001,16,"77.124"
2001,17,"114.475"
2001,18,"148.825"
2001,19,"170.246"
2001,20,"178.122"
2001,21,"181.27"
2001,22,"181.814"
2001,23,"181.857"
2001,24,"181.763"
2001,25,"181.178"
2001,26,"179.749"
2001,27,"177.72"
2001,28,"174.959"
2001,29,"170.776"
2001,30,"165.034"
2001,31,"158.988"
2001,32,"152.661"
2001,33,"146.098"
2001,34,"139.108"
2001,35,"131.117"
2001,36,"121.385"
2001,37,"110.766"
2001,38,"99.295"
2001,39,"86.608"
2001,40,"72.515"
2001,41,"58.673"
2001,42,"45.177"
2001,43,"33.193"
2001,44,"23.118"
2001,45,"15.101"
2001,46,"10.049"
2001,47,"6.381"
2001,48,"3.801"
2001,49,"1.951"
2002,15,"39.27"
2002,16,"73.986"
2002,17,"110.78"
2002,18,"145.194"
2002,19,"167.15"
2002,20,"175.858"
2002,21,"179.567"
2002,22,"180.263"
2002,23,"180.026"
2002,24,"179.259"
2002,25,"177.813"
2002,26,"175.448"
2002,27,"172.825"
2002,28,"169.87"
2002,29,"165.741"
2002,30,"160.188"
2002,31,"154.532"
2002,32,"148.741"
2002,33,"142.972"
2002,34,"136.94"
2002,35,"129.75"
2002,36,"120.188"
2002,37,"109.533"
2002,38,"97.855"
2002,39,"84.732"
2002,40,"69.721"
2002,41,"55.71"
2002,42,"42.435"
2002,43,"30.88"
2002,44,"21.364"
2002,45,"14.238"
2002,46,"9.548"
2002,47,"6.138"
2002,48,"3.701"
2002,49,"1.923"
2003,15,"37.087"
2003,16,"70.599"
2003,17,"107.342"
2003,18,"143.025"
2003,19,"167.027"
2003,20,"178.051"
2003,21,"182.441"
2003,22,"182.058"
2003,23,"180.118"
2003,24,"177.448"
2003,25,"174.548"
2003,26,"171.449"
2003,27,"168.695"
2003,28,"166.142"
2003,29,"162.7"
2003,30,"158.089"
2003,31,"152.971"
2003,32,"147.317"
2003,33,"141.168"
2003,34,"134.357"
2003,35,"126.407"
2003,36,"116.667"
2003,37,"106.048"
2003,38,"94.618"
2003,39,"82.082"
2003,40,"68.24"
2003,41,"54.848"
2003,42,"41.945"
2003,43,"30.595"
2003,44,"21.149"
2003,45,"13.735"
2003,46,"9.046"
2003,47,"5.678"
2003,48,"3.347"
2003,49,"1.7"
2004,15,"35.254"
2004,16,"67.712"
2004,17,"104.505"
2004,18,"141.488"
2004,19,"167.47"
2004,20,"180.666"
2004,21,"185.663"
2004,22,"184.218"
2004,23,"180.649"
2004,24,"176.194"
2004,25,"172.01"
2004,26,"168.388"
2004,27,"165.793"
2004,28,"163.993"
2004,29,"161.538"
2004,30,"158.044"
2004,31,"153.513"
2004,32,"147.914"
2004,33,"141.338"
2004,34,"133.725"
2004,35,"124.884"
2004,36,"114.516"
2004,37,"103.432"
2004,38,"91.732"
2004,39,"79.215"
2004,40,"65.777"
2004,41,"52.727"
2004,42,"40.195"
2004,43,"29.236"
2004,44,"20.177"
2004,45,"13.023"
2004,46,"8.546"
2004,47,"5.343"
2004,48,"3.145"
2004,49,"1.596"
2005,15,"33.332"
2005,16,"64.594"
2005,17,"101.07"
2005,18,"138.792"
2005,19,"166.267"
2005,20,"181.331"
2005,21,"186.992"
2005,22,"184.875"
2005,23,"180.102"
2005,24,"174.221"
2005,25,"168.903"
2005,26,"164.661"
2005,27,"161.903"
2005,28,"160.356"
2005,29,"158.406"
2005,30,"155.654"
2005,31,"151.606"
2005,32,"146.226"
2005,33,"139.484"
2005,34,"131.402"
2005,35,"122.108"
2005,36,"111.749"
2005,37,"100.823"
2005,38,"89.422"
2005,39,"77.445"
2005,40,"64.993"
2005,41,"52.432"
2005,42,"40.149"
2005,43,"29.278"
2005,44,"20.179"
2005,45,"12.664"
2005,46,"8.145"
2005,47,"4.95"
2005,48,"2.829"
2005,49,"1.392"
2006,15,"30.98"
2006,16,"60.603"
2006,17,"95.892"
2006,18,"133.126"
2006,19,"161.077"
2006,20,"177.427"
2006,21,"184.124"
2006,22,"182.603"
2006,23,"178.091"
2006,24,"172.197"
2006,25,"166.735"
2006,26,"162.302"
2006,27,"159.298"
2006,28,"157.481"
2006,29,"155.352"
2006,30,"152.6"
2006,31,"148.584"
2006,32,"143.288"
2006,33,"136.506"
2006,34,"128.302"
2006,35,"119.004"
2006,36,"109.112"
2006,37,"98.758"
2006,38,"88.001"
2006,39,"76.809"
2006,40,"65.497"
2006,41,"53.437"
2006,42,"41.291"
2006,43,"30.311"
2006,44,"20.913"
2006,45,"12.732"
2006,46,"8.006"
2006,47,"4.709"
2006,48,"2.606"
2006,49,"1.24"
2007,15,"29.279"
2007,16,"57.726"
2007,17,"92.495"
2007,18,"130.056"
2007,19,"159.105"
2007,20,"177.058"
2007,21,"184.616"
2007,22,"183.079"
2007,23,"178.186"
2007,24,"171.727"
2007,25,"165.768"
2007,26,"161.022"
2007,27,"157.788"
2007,28,"155.813"
2007,29,"153.613"
2007,30,"150.921"
2007,31,"146.791"
2007,32,"141.232"
2007,33,"133.95"
2007,34,"125.092"
2007,35,"115.272"
2007,36,"105.398"
2007,37,"95.257"
2007,38,"84.893"
2007,39,"74.359"
2007,40,"64.158"
2007,41,"52.746"
2007,42,"41.004"
2007,43,"30.251"
2007,44,"20.929"
2007,45,"12.505"
2007,46,"7.781"
2007,47,"4.508"
2007,48,"2.469"
2007,49,"1.167"
2008,15,"27.569"
2008,16,"54.871"
2008,17,"89.292"
2008,18,"127.509"
2008,19,"158.109"
2008,20,"178.207"
2008,21,"187.112"
2008,22,"185.914"
2008,23,"180.648"
2008,24,"173.263"
2008,25,"166.202"
2008,26,"160.381"
2008,27,"156.347"
2008,28,"153.903"
2008,29,"151.529"
2008,30,"148.954"
2008,31,"145.059"
2008,32,"139.823"
2008,33,"132.822"
2008,34,"124.191"
2008,35,"114.59"
2008,36,"105.023"
2008,37,"95.156"
2008,38,"85.024"
2008,39,"74.722"
2008,40,"64.83"
2008,41,"53.491"
2008,42,"41.681"
2008,43,"30.767"
2008,44,"21.221"
2008,45,"12.425"
2008,46,"7.592"
2008,47,"4.278"
2008,48,"2.271"
2008,49,"1.036"
2009,15,"25.778"
2009,16,"51.741"
2009,17,"85.416"
2009,18,"123.692"
2009,19,"155.161"
2009,20,"176.708"
2009,21,"186.471"
2009,22,"185.384"
2009,23,"179.816"
2009,24,"171.857"
2009,25,"164.23"
2009,26,"157.982"
2009,27,"153.723"
2009,28,"151.262"
2009,29,"149.014"
2009,30,"146.687"
2009,31,"142.927"
2009,32,"137.71"
2009,33,"130.619"
2009,34,"121.821"
2009,35,"112.063"
2009,36,"102.47"
2009,37,"92.641"
2009,38,"82.617"
2009,39,"72.542"
2009,40,"63.029"
2009,41,"52.035"
2009,42,"40.56"
2009,43,"29.956"
2009,44,"20.681"
2009,45,"12.089"
2009,46,"7.374"
2009,47,"4.155"
2009,48,"2.224"
2009,49,"1.03"
2010,15,"24.228"
2010,16,"48.924"
2010,17,"81.399"
2010,18,"118.692"
2010,19,"149.605"
2010,20,"170.992"
2010,21,"180.63"
2010,22,"179.412"
2010,23,"173.873"
2010,24,"166.144"
2010,25,"158.941"
2010,26,"153.286"
2010,27,"149.615"
2010,28,"147.682"
2010,29,"145.846"
2010,30,"143.782"
2010,31,"139.962"
2010,32,"134.392"
2010,33,"126.862"
2010,34,"117.6"
2010,35,"107.411"
2010,36,"97.448"
2010,37,"87.393"
2010,38,"77.314"
2010,39,"67.384"
2010,40,"58.136"
2010,41,"47.75"
2010,42,"37.1"
2010,43,"27.412"
2010,44,"19.07"
2010,45,"11.542"
2010,46,"7.24"
2010,47,"4.282"
2010,48,"2.466"
2010,49,"1.249"
2011,15,"23.176"
2011,16,"47.202"
2011,17,"79.173"
2011,18,"116.201"
2011,19,"147.108"
2011,20,"168.694"
2011,21,"178.489"
2011,22,"177.344"
2011,23,"171.858"
2011,24,"164.18"
2011,25,"157.047"
2011,26,"151.487"
2011,27,"147.944"
2011,28,"146.162"
2011,29,"144.448"
2011,30,"142.445"
2011,31,"138.583"
2011,32,"132.871"
2011,33,"125.218"
2011,34,"115.86"
2011,35,"105.56"
2011,36,"95.398"
2011,37,"85.177"
2011,38,"74.981"
2011,39,"64.979"
2011,40,"55.631"
2011,41,"45.422"
2011,42,"35.123"
2011,43,"25.867"
2011,44,"17.997"
2011,45,"11.047"
2011,46,"6.992"
2011,47,"4.203"
2011,48,"2.477"
2011,49,"1.287"
2012,15,"22.231"
2012,16,"45.632"
2012,17,"77.142"
2012,18,"113.947"
2012,19,"144.885"
2012,20,"166.702"
2012,21,"176.671"
2012,22,"175.6"
2012,23,"170.161"
2012,24,"162.525"
2012,25,"155.451"
2012,26,"149.98"
2012,27,"146.557"
2012,28,"144.918"
2012,29,"143.321"
2012,30,"141.379"
2012,31,"137.469"
2012,32,"131.61"
2012,33,"123.82"
2012,34,"114.347"
2012,35,"103.919"
2012,36,"93.551"
2012,37,"83.156"
2012,38,"72.835"
2012,39,"62.756"
2012,40,"53.31"
2012,41,"43.266"
2012,42,"33.295"
2012,43,"24.446"
2012,44,"17.02"
2012,45,"10.615"
2012,46,"6.792"
2012,47,"4.159"
2012,48,"2.514"
2012,49,"1.341"
2013,15,"21.954"
2013,16,"45.424"
2013,17,"77.091"
2013,18,"114.093"
2013,19,"145.084"
2013,20,"166.766"
2013,21,"176.453"
2013,22,"174.99"
2013,23,"169.226"
2013,24,"161.376"
2013,25,"154.21"
2013,26,"148.758"
2013,27,"145.402"
2013,28,"143.85"
2013,29,"142.322"
2013,30,"140.427"
2013,31,"136.491"
2013,32,"130.542"
2013,33,"122.614"
2013,34,"112.974"
2013,35,"102.4"
2013,36,"91.961"
2013,37,"81.548"
2013,38,"71.265"
2013,39,"61.281"
2013,40,"51.998"
2013,41,"42.135"
2013,42,"32.368"
2013,43,"23.721"
2013,44,"16.482"
2013,45,"10.233"
2013,46,"6.528"
2013,47,"3.98"
2013,48,"2.392"
2013,49,"1.27"
2014,15,"21.356"
2014,16,"44.445"
2014,17,"75.775"
2014,18,"112.509"
2014,19,"143.312"
2014,20,"164.865"
2014,21,"174.411"
2014,22,"172.789"
2014,23,"166.918"
2014,24,"159.027"
2014,25,"151.883"
2014,26,"146.508"
2014,27,"143.248"
2014,28,"141.804"
2014,29,"140.367"
2014,30,"138.529"
2014,31,"134.585"
2014,32,"128.564"
2014,33,"120.573"
2014,34,"110.888"
2014,35,"100.281"
2014,36,"89.782"
2014,37,"79.341"
2014,38,"69.07"
2014,39,"59.143"
2014,40,"49.912"
2014,41,"40.281"
2014,42,"30.854"
2014,43,"22.589"
2014,44,"15.744"
2014,45,"9.954"
2014,46,"6.44"
2014,47,"4.014"
2014,48,"2.481"
2014,49,"1.353"
2015,15,"20.784"
2015,16,"43.508"
2015,17,"74.42"
2015,18,"110.712"
2015,19,"141.125"
2015,20,"162.361"
2015,21,"171.705"
2015,22,"169.995"
2015,23,"164.119"
2015,24,"156.289"
2015,25,"149.237"
2015,26,"143.965"
2015,27,"140.799"
2015,28,"139.432"
2015,29,"138.056"
2015,30,"136.263"
2015,31,"132.354"
2015,32,"126.362"
2015,33,"118.419"
2015,34,"108.802"
2015,35,"98.277"
2015,36,"87.856"
2015,37,"77.512"
2015,38,"67.358"
2015,39,"57.562"
2015,40,"48.461"
2015,41,"39.026"
2015,42,"29.832"
2015,43,"21.801"
2015,44,"15.176"
2015,45,"9.602"
2015,46,"6.213"
2015,47,"3.875"
2015,48,"2.398"
2015,49,"1.309"
2016,15,"20.305"
2016,16,"42.687"
2016,17,"73.203"
2016,18,"109.073"
2016,19,"139.121"
2016,20,"160.073"
2016,21,"169.24"
2016,22,"167.458"
2016,23,"161.581"
2016,24,"153.809"
2016,25,"146.839"
2016,26,"141.662"
2016,27,"138.584"
2016,28,"137.292"
2016,29,"135.978"
2016,30,"134.23"
2016,31,"130.355"
2016,32,"124.389"
2016,33,"116.484"
2016,34,"106.921"
2016,35,"96.461"
2016,36,"86.105"
2016,37,"75.843"
2016,38,"65.793"
2016,39,"56.116"
2016,40,"47.138"
2016,41,"37.876"
2016,42,"28.889"
2016,43,"21.062"
2016,44,"14.628"
2016,45,"9.233"
2016,46,"5.96"
2016,47,"3.707"
2016,48,"2.286"
2016,49,"1.244"
2017,15,"19.889"
2017,16,"41.949"
2017,17,"72.081"
2017,18,"107.536"
2017,19,"137.229"
2017,20,"157.91"
2017,21,"166.914"
2017,22,"165.071"
2017,23,"159.199"
2017,24,"151.484"
2017,25,"144.595"
2017,26,"139.509"
2017,27,"136.516"
2017,28,"135.298"
2017,29,"134.046"
2017,30,"132.345"
2017,31,"128.504"
2017,32,"122.564"
2017,33,"114.695"
2017,34,"105.182"
2017,35,"94.779"
2017,36,"84.48"
2017,37,"74.293"
2017,38,"64.337"
2017,39,"54.768"
2017,40,"45.903"
2017,41,"36.799"
2017,42,"28.001"
2017,43,"20.361"
2017,44,"14.101"
2017,45,"8.865"
2017,46,"5.703"
2017,47,"3.53"
2017,48,"2.164"
2017,49,"1.17"
2018,15,"19.535"
2018,16,"41.299"
2018,17,"71.071"
2018,18,"106.128"
2018,19,"135.48"
2018,20,"155.902"
2018,21,"164.752"
2018,22,"162.857"
2018,23,"156.995"
2018,24,"149.337"
2018,25,"142.524"
2018,26,"137.525"
2018,27,"134.615"
2018,28,"133.472"
2018,29,"132.282"
2018,30,"130.628"
2018,31,"126.822"
2018,32,"120.907"
2018,33,"113.072"
2018,34,"103.603"
2018,35,"93.248"
2018,36,"82.998"
2018,37,"72.878"
2018,38,"63.007"
2018,39,"53.534"
2018,40,"44.772"
2018,41,"35.807"
2018,42,"27.172"
2018,43,"19.693"
2018,44,"13.582"
2018,45,"8.472"
2018,46,"5.415"
2018,47,"3.321"
2018,48,"2.011"
2018,49,"1.074"
2019,15,"19.221"
2019,16,"40.687"
2019,17,"70.08"
2019,18,"104.709"
2019,19,"133.693"
2019,20,"153.837"
2019,21,"162.53"
2019,22,"160.591"
2019,23,"154.75"
2019,24,"147.157"
2019,25,"140.428"
2019,26,"135.519"
2019,27,"132.693"
2019,28,"131.626"
2019,29,"130.5"
2019,30,"128.897"
2019,31,"125.132"
2019,32,"119.251"
2019,33,"111.46"
2019,34,"102.045"
2019,35,"91.749"
2019,36,"81.554"
2019,37,"71.503"
2019,38,"61.717"
2019,39,"52.337"
2019,40,"43.671"
2019,41,"34.839"
2019,42,"26.363"
2019,43,"19.04"
2019,44,"13.074"
2019,45,"8.087"
2019,46,"5.133"
2019,47,"3.115"
2019,48,"1.86"
2019,49,"0.979"
2020,15,"18.994"
2020,16,"40.206"
2020,17,"69.243"
2020,18,"103.446"
2020,19,"132.067"
2020,20,"151.954"
2020,21,"160.533"
2020,22,"158.616"
2020,23,"152.842"
2020,24,"145.334"
2020,25,"138.676"
2020,26,"133.817"
2020,27,"131.023"
2020,28,"129.971"
2020,29,"128.859"
2020,30,"127.28"
2020,31,"123.568"
2020,32,"117.77"
2020,33,"110.076"
2020,34,"100.769"
2020,35,"90.586"
2020,36,"80.525"
2020,37,"70.611"
2020,38,"60.963"
2020,39,"51.714"
2020,40,"43.191"
2020,41,"34.453"
2020,42,"26.047"
2020,43,"18.765"
2020,44,"12.814"
2020,45,"7.782"
2020,46,"4.868"
2020,47,"2.886"
2020,48,"1.671"
2020,49,"0.85"
2021,15,"18.742"
2021,16,"39.628"
2021,17,"68.232"
2021,18,"101.934"
2021,19,"130.134"
2021,20,"149.721"
2021,21,"158.141"
2021,22,"156.197"
2021,23,"150.461"
2021,24,"143.032"
2021,25,"136.466"
2021,26,"131.7"
2021,27,"128.99"
2021,28,"128.013"
2021,29,"126.969"
2021,30,"125.446"
2021,31,"121.784"
2021,32,"116.031"
2021,33,"108.4"
2021,34,"99.174"
2021,35,"89.076"
2021,36,"79.079"
2021,37,"69.238"
2021,38,"59.673"
2021,39,"50.513"
2021,40,"42.066"
2021,41,"33.468"
2021,42,"25.238"
2021,43,"18.136"
2021,44,"12.36"
2021,45,"7.504"
2021,46,"4.693"
2021,47,"2.782"
2021,48,"1.608"
2021,49,"0.816"
2022,15,"18.556"
2022,16,"39.18"
2022,17,"67.425"
2022,18,"100.704"
2022,19,"128.539"
2022,20,"147.857"
2022,21,"156.129"
2022,22,"154.155"
2022,23,"148.446"
2022,24,"141.083"
2022,25,"134.596"
2022,26,"129.912"
2022,27,"127.28"
2022,28,"126.374"
2022,29,"125.396"
2022,30,"123.925"
2022,31,"120.308"
2022,32,"114.593"
2022,33,"107.018"
2022,34,"97.866"
2022,35,"87.841"
2022,36,"77.888"
2022,37,"68.096"
2022,38,"58.587"
2022,39,"49.486"
2022,40,"41.08"
2022,41,"32.593"
2022,42,"24.512"
2022,43,"17.571"
2022,44,"11.953"
2022,45,"7.268"
2022,46,"4.55"
2022,47,"2.702"
2022,48,"1.563"
2022,49,"0.793"
2023,15,"18.31"
2023,16,"38.619"
2023,17,"66.419"
2023,18,"99.163"
2023,19,"126.527"
2023,20,"145.488"
2023,21,"153.572"
2023,22,"151.575"
2023,23,"145.916"
2023,24,"138.648"
2023,25,"132.266"
2023,26,"127.68"
2023,27,"125.134"
2023,28,"124.303"
2023,29,"123.391"
2023,30,"121.976"
2023,31,"118.42"
2023,32,"112.772"
2023,33,"105.291"
2023,34,"96.257"
2023,35,"86.352"
2023,36,"76.484"
2023,37,"66.778"
2023,38,"57.358"
2023,39,"48.342"
2023,40,"39.996"
2023,41,"31.639"
2023,42,"23.726"
2023,43,"16.96"
2023,44,"11.512"
2023,45,"7.005"
2023,46,"4.387"
2023,47,"2.607"
2023,48,"1.506"
2023,49,"0.763"
